date, temp (C), RH (%), epoch time (s)
2018-03-27_122107,22.91,26.79,1522171267.9798026
2018-03-27_122117,22.91,26.76,1522171277.9803748
2018-03-27_122127,22.91,26.79,1522171287.9809468
2018-03-27_122137,22.91,26.69,1522171297.9815185
2018-03-27_122147,22.93,26.76,1522171307.9820907
2018-03-27_122157,22.91,26.72,1522171317.9826627
2018-03-27_122207,22.91,26.72,1522171327.983235
2018-03-27_122217,22.93,26.66,1522171337.9838066
2018-03-27_122227,22.91,26.66,1522171347.9843786
2018-03-27_122237,22.91,26.62,1522171357.9849508
2018-03-27_122247,22.93,26.66,1522171367.9855227
2018-03-27_122257,22.94,26.58,1522171377.9860945
2018-03-27_122307,22.93,26.64,1522171387.9866667
2018-03-27_122317,22.93,26.59,1522171397.9872386
2018-03-27_122327,22.90,26.62,1522171407.9878109
2018-03-27_122337,22.91,26.60,1522171417.9883828
2018-03-27_122347,22.91,26.58,1522171427.9889545
2018-03-27_122357,22.90,26.61,1522171437.9895267
2018-03-27_122407,22.90,26.60,1522171447.9900987
2018-03-27_122417,22.91,26.56,1522171457.9906707
2018-03-27_122427,22.90,26.53,1522171467.9912426
2018-03-27_122437,22.88,26.53,1522171477.9918146
2018-03-27_122447,22.93,26.50,1522171487.9923868
2018-03-27_122458,22.88,26.46,1522171498.0006552
2018-03-27_122508,22.90,26.50,1522171508.0006692
2018-03-27_122518,22.90,26.45,1522171518.000683
2018-03-27_122528,22.90,26.49,1522171528.0006971
2018-03-27_122538,22.91,26.46,1522171538.0007112
2018-03-27_122548,22.90,26.39,1522171548.000725
2018-03-27_122558,22.88,26.46,1522171558.000739
2018-03-27_122608,22.91,26.45,1522171568.0007532
2018-03-27_122618,22.90,26.44,1522171578.000767
2018-03-27_122628,22.90,26.33,1522171588.0009575
2018-03-27_122638,22.90,26.38,1522171598.0034318
2018-03-27_122648,22.91,26.39,1522171608.0334458
2018-03-27_122658,22.88,26.30,1522171618.03346
2018-03-27_122708,22.90,26.33,1522171628.0334737
2018-03-27_122718,22.90,26.35,1522171638.0334878
2018-03-27_122728,22.90,26.36,1522171648.0335019
2018-03-27_122738,22.87,26.28,1522171658.0335157
2018-03-27_122748,22.91,26.31,1522171668.0335298
2018-03-27_122758,22.90,26.25,1522171678.0416553
2018-03-27_122808,22.88,26.26,1522171688.0447786
2018-03-27_122818,22.91,26.22,1522171698.048793
2018-03-27_122828,22.91,26.24,1522171708.0488071
2018-03-27_122838,22.88,26.19,1522171718.0488212
2018-03-27_122848,22.90,26.19,1522171728.048835
2018-03-27_122858,22.90,26.23,1522171738.048849
2018-03-27_122908,22.91,26.22,1522171748.0488632
2018-03-27_122918,22.90,26.25,1522171758.0488772
2018-03-27_122928,22.91,26.21,1522171768.048891
2018-03-27_122938,22.90,26.14,1522171778.0489051
2018-03-27_122948,22.90,26.21,1522171788.0489192
2018-03-27_122958,22.88,26.14,1522171798.048933
2018-03-27_123008,22.90,26.11,1522171808.048947
2018-03-27_123018,22.87,26.16,1522171818.0489612
2018-03-27_123028,22.90,26.15,1522171828.048975
2018-03-27_123038,22.88,26.09,1522171838.0489893
2018-03-27_123048,22.90,26.15,1522171848.0490034
2018-03-27_123058,22.93,26.14,1522171858.0490172
2018-03-27_123108,22.90,26.14,1522171868.0490313
2018-03-27_123118,22.90,26.09,1522171878.0490453
2018-03-27_123128,22.88,26.09,1522171888.0490594
2018-03-27_123138,22.88,26.09,1522171898.0490732
2018-03-27_123148,22.88,26.08,1522171908.0490873
2018-03-27_123158,22.90,26.09,1522171918.0491014
2018-03-27_123208,22.88,26.01,1522171928.0491152
2018-03-27_123218,22.87,26.03,1522171938.0491292
2018-03-27_123228,22.91,26.05,1522171948.0491433
2018-03-27_123238,22.90,26.07,1522171958.0491571
2018-03-27_123248,22.90,26.07,1522171968.057283
2018-03-27_123258,22.88,26.05,1522171978.0572968
2018-03-27_123308,22.87,26.05,1522171988.0644355
2018-03-27_123318,22.90,26.06,1522171998.0644495
2018-03-27_123328,22.88,26.08,1522172008.0666115
2018-03-27_123338,22.88,26.01,1522172018.0666256
2018-03-27_123348,22.88,26.04,1522172028.0666397
2018-03-27_123358,22.86,26.03,1522172038.0666535
2018-03-27_123408,22.90,26.06,1522172048.0666676
2018-03-27_123418,22.88,26.05,1522172058.0666816
2018-03-27_123428,22.87,26.05,1522172068.0666955
2018-03-27_123438,22.88,26.03,1522172078.0667095
2018-03-27_123448,22.88,26.02,1522172088.0668585
2018-03-27_123458,22.88,25.98,1522172098.0730186
2018-03-27_123508,22.88,26.02,1522172108.077069
2018-03-27_123518,22.87,26.03,1522172118.0833821
2018-03-27_123528,22.88,26.03,1522172128.0934675
2018-03-27_123538,22.88,26.05,1522172138.0934813
2018-03-27_123548,22.88,26.03,1522172148.0934954
2018-03-27_123558,22.87,26.06,1522172158.0975106
2018-03-27_123608,22.88,26.05,1522172168.0975244
2018-03-27_123618,22.88,26.06,1522172178.0975385
2018-03-27_123628,22.90,26.11,1522172188.0975525
2018-03-27_123638,22.87,26.08,1522172198.0975666
2018-03-27_123648,22.88,26.08,1522172208.1035814
2018-03-27_123658,22.86,26.06,1522172218.1035955
2018-03-27_123708,22.87,26.09,1522172228.108006
2018-03-27_123718,22.88,26.06,1522172238.1100206
2018-03-27_123728,22.86,26.10,1522172248.1100347
2018-03-27_123738,22.87,26.15,1522172258.1100485
2018-03-27_123748,22.90,26.14,1522172268.1100626
2018-03-27_123758,22.87,26.13,1522172278.1100767
2018-03-27_123808,22.87,26.15,1522172288.1100905
2018-03-27_123818,22.88,26.14,1522172298.1103902
2018-03-27_123828,22.86,26.15,1522172308.1109622
2018-03-27_123838,22.88,26.16,1522172318.1115344
2018-03-27_123848,22.88,26.22,1522172328.1121063
2018-03-27_123858,22.88,26.20,1522172338.1136782
2018-03-27_123908,22.90,26.21,1522172348.1142504
2018-03-27_123918,22.87,26.25,1522172358.1148224
2018-03-27_123928,22.87,26.25,1522172368.1153944
2018-03-27_123938,22.87,26.25,1522172378.1159666
2018-03-27_123948,22.86,26.29,1522172388.1165383
2018-03-27_123958,22.88,26.23,1522172398.1171103
2018-03-27_124008,22.88,26.27,1522172408.1176825
2018-03-27_124018,22.87,26.29,1522172418.1182544
2018-03-27_124028,22.87,26.30,1522172428.1188264
2018-03-27_124038,22.87,26.32,1522172438.1193984
2018-03-27_124048,22.88,26.33,1522172448.1199703
2018-03-27_124058,22.87,26.32,1522172458.1205425
2018-03-27_124108,22.88,26.37,1522172468.1221144
2018-03-27_124118,22.88,26.39,1522172478.1236863
2018-03-27_124128,22.88,26.40,1522172488.1321712
