2018-03-16_000015,23.48,25.78,1521176415.1807
2018-03-16_000025,23.50,25.80,1521176425.181272
2018-03-16_000035,23.49,25.75,1521176435.182844
2018-03-16_000045,23.49,25.78,1521176445.183416
2018-03-16_000055,23.50,25.83,1521176455.184988
2018-03-16_000105,23.49,25.82,1521176465.18556
2018-03-16_000115,23.49,25.85,1521176475.186132
2018-03-16_000125,23.50,25.84,1521176485.186704
2018-03-16_000135,23.49,25.84,1521176495.187276
2018-03-16_000145,23.50,25.82,1521176505.188848
2018-03-16_000155,23.50,25.83,1521176515.18942
2018-03-16_000205,23.50,25.83,1521176525.190993
2018-03-16_000215,23.50,25.88,1521176535.192565
2018-03-16_000225,23.49,25.88,1521176545.193137
2018-03-16_000235,23.49,25.85,1521176555.193709
2018-03-16_000245,23.49,25.88,1521176565.194281
2018-03-16_000255,23.49,25.87,1521176575.195853
2018-03-16_000305,23.50,25.88,1521176585.196425
2018-03-16_000315,23.48,25.88,1521176595.197997
2018-03-16_000325,23.50,25.94,1521176605.199569
2018-03-16_000335,23.49,25.91,1521176615.200141
2018-03-16_000345,23.50,25.96,1521176625.200713
2018-03-16_000355,23.50,25.91,1521176635.201285
2018-03-16_000405,23.50,25.93,1521176645.201857
2018-03-16_000415,23.50,25.91,1521176655.202429
2018-03-16_000425,23.50,26.00,1521176665.203001
2018-03-16_000435,23.49,25.94,1521176675.203573
2018-03-16_000445,23.50,25.97,1521176685.204145
2018-03-16_000455,23.49,25.97,1521176695.204717
2018-03-16_000505,23.50,25.94,1521176705.205289
2018-03-16_000515,23.49,25.96,1521176715.205861
2018-03-16_000525,23.48,26.00,1521176725.206433
2018-03-16_000535,23.49,26.04,1521176735.208005
2018-03-16_000545,23.49,26.03,1521176745.208577
2018-03-16_000555,23.48,26.03,1521176755.209149
2018-03-16_000605,23.49,26.01,1521176765.209721
2018-03-16_000615,23.50,26.06,1521176775.210293
2018-03-16_000625,23.49,26.08,1521176785.211865
2018-03-16_000635,23.48,26.13,1521176795.212437
2018-03-16_000645,23.49,26.08,1521176805.213009
2018-03-16_000655,23.49,26.07,1521176815.213581
2018-03-16_000705,23.49,26.07,1521176825.214153
2018-03-16_000715,23.49,26.04,1521176835.214725
2018-03-16_000725,23.49,26.05,1521176845.215297
2018-03-16_000735,23.48,26.08,1521176855.215869
2018-03-16_000745,23.49,26.12,1521176865.216441
2018-03-16_000755,23.49,26.09,1521176875.217013
2018-03-16_000805,23.50,26.15,1521176885.217585
2018-03-16_000815,23.49,26.12,1521176895.218157
2018-03-16_000825,23.52,26.11,1521176905.218729
2018-03-16_000835,23.49,26.15,1521176915.219301
2018-03-16_000845,23.46,26.18,1521176925.219873
2018-03-16_000855,23.50,26.16,1521176935.220445
2018-03-16_000905,23.50,26.20,1521176945.221017
2018-03-16_000915,23.52,26.20,1521176955.221589
2018-03-16_000925,23.50,26.15,1521176965.222161
2018-03-16_000935,23.49,26.22,1521176975.223733
2018-03-16_000945,23.50,26.21,1521176985.224305
2018-03-16_000955,23.52,26.21,1521176995.224877
2018-03-16_001005,23.52,26.24,1521177005.225449
2018-03-16_001015,23.50,26.25,1521177015.226021
2018-03-16_001025,23.50,26.25,1521177025.226593
2018-03-16_001035,23.52,26.28,1521177035.227165
