date, temp (C), RH (%), epoch time (s)
2018-04-10_112107,22.86,26.08,1523377267.829813
2018-04-10_112117,22.86,26.11,1523377277.829827
2018-04-10_112127,22.84,26.08,1523377287.8298411
2018-04-10_112137,22.86,26.06,1523377297.829855
2018-04-10_112147,22.84,26.11,1523377307.829869
2018-04-10_112157,22.86,26.09,1523377317.829883
2018-04-10_112207,22.84,26.18,1523377327.8298972
2018-04-10_112217,22.86,26.13,1523377337.829911
2018-04-10_112227,22.86,26.11,1523377347.829925
2018-04-10_112237,22.88,26.10,1523377357.8299391
2018-04-10_112247,22.87,26.12,1523377367.829953
2018-04-10_112257,22.86,26.12,1523377377.829967
2018-04-10_112307,22.87,26.13,1523377387.829981
2018-04-10_112317,22.84,26.09,1523377397.829995
2018-04-10_112327,22.86,26.13,1523377407.830009
2018-04-10_112337,22.87,26.11,1523377417.830023
2018-04-10_112347,22.84,26.12,1523377427.8300369
2018-04-10_112357,22.84,26.09,1523377437.8300512
2018-04-10_112407,22.83,26.09,1523377447.8300653
2018-04-10_112417,22.86,26.09,1523377457.830079
2018-04-10_112427,22.86,26.06,1523377467.8300931
2018-04-10_112437,22.83,26.05,1523377477.8301072
2018-04-10_112447,22.83,26.06,1523377487.8301213
2018-04-10_112457,22.84,26.08,1523377497.830135
2018-04-10_112507,22.83,26.09,1523377507.8301492
2018-04-10_112517,22.86,26.08,1523377517.8301632
2018-04-10_112527,22.86,26.08,1523377527.830177
2018-04-10_112537,22.83,26.08,1523377537.8301911
2018-04-10_112547,22.84,26.12,1523377547.8302052
2018-04-10_112557,22.86,26.09,1523377557.830219
2018-04-10_112607,22.84,26.09,1523377567.830233
2018-04-10_112617,22.84,26.03,1523377577.8302472
2018-04-10_112627,22.83,26.02,1523377587.830261
2018-04-10_112637,22.84,26.03,1523377597.830275
2018-04-10_112647,22.86,26.08,1523377607.8302891
2018-04-10_112657,22.86,26.02,1523377617.830303
2018-04-10_112707,22.86,26.06,1523377627.830317
2018-04-10_112717,22.86,26.10,1523377637.830331
2018-04-10_112727,22.84,26.09,1523377647.8303452
2018-04-10_112737,22.84,26.02,1523377657.830359
2018-04-10_112747,22.86,26.05,1523377667.830373
2018-04-10_112757,22.84,26.08,1523377677.830387
2018-04-10_112807,22.86,26.02,1523377687.830401
2018-04-10_112817,22.84,25.99,1523377697.830415
2018-04-10_112827,22.84,26.02,1523377707.830429
2018-04-10_112837,22.83,26.06,1523377717.830443
2018-04-10_112847,22.84,26.05,1523377727.830457
2018-04-10_112857,22.81,26.05,1523377737.8304713
2018-04-10_112907,22.81,26.05,1523377747.830485
2018-04-10_112917,22.81,26.06,1523377757.8304992
2018-04-10_112927,22.83,26.03,1523377767.8305132
2018-04-10_112937,22.81,26.02,1523377777.830527
