date, temp (C), RH (%), epoch time (s)
2018-03-08_090324,23.32,27.03,1520521404.894255
2018-03-08_090334,23.33,27.03,1520521414.894827
2018-03-08_090344,23.33,27.02,1520521424.895399
2018-03-08_090354,23.33,27.01,1520521434.895971
2018-03-08_090404,23.32,27.02,1520521444.896543
2018-03-08_090414,23.33,27.06,1520521454.897115
2018-03-08_090424,23.32,27.08,1520521464.898687
2018-03-08_090434,23.33,27.06,1520521474.899259
2018-03-08_090444,23.32,27.05,1520521484.899831
2018-03-08_090454,23.32,27.06,1520521494.900403
2018-03-08_090504,23.33,27.12,1520521504.900975
2018-03-08_090514,23.32,27.09,1520521514.902547
2018-03-08_090524,23.33,27.07,1520521524.903119
2018-03-08_090534,23.33,27.05,1520521534.903691
2018-03-08_090544,23.33,27.08,1520521544.904263
2018-03-08_090554,23.35,27.03,1520521554.904835
2018-03-08_090604,23.33,27.05,1520521564.905407
2018-03-08_090614,23.35,27.06,1520521574.905979
2018-03-08_090624,23.32,27.05,1520521584.906551
2018-03-08_090634,23.33,27.08,1520521594.907123
2018-03-08_090644,23.33,27.05,1520521604.907695
2018-03-08_090654,23.32,27.05,1520521614.908267
2018-03-08_090704,23.32,27.10,1520521624.908839
2018-03-08_090714,23.33,27.05,1520521634.909411
2018-03-08_090724,23.32,27.02,1520521644.909983
2018-03-08_090734,23.35,27.05,1520521654.910555
2018-03-08_090744,23.32,27.03,1520521664.911127
2018-03-08_090754,23.32,27.03,1520521674.911699
2018-03-08_090804,23.32,27.05,1520521684.912271
2018-03-08_090814,23.32,27.05,1520521694.912843
2018-03-08_090824,23.36,27.01,1520521704.913415
2018-03-08_090834,23.35,27.04,1520521714.913987
2018-03-08_090844,23.35,27.02,1520521724.914559
2018-03-08_090854,23.33,27.02,1520521734.915131
2018-03-08_090904,23.32,26.98,1520521744.915703
2018-03-08_090914,23.35,26.99,1520521754.916275
2018-03-08_090924,23.33,26.92,1520521764.916847
2018-03-08_090934,23.35,26.95,1520521774.917419
2018-03-08_090944,23.35,26.95,1520521784.917991
2018-03-08_090954,23.33,26.95,1520521794.918563
2018-03-08_091004,23.33,26.92,1520521804.919135
2018-03-08_091014,23.32,26.92,1520521814.919707
2018-03-08_091024,23.35,26.93,1520521824.920279
2018-03-08_091034,23.32,26.87,1520521834.920851
2018-03-08_091044,23.35,26.92,1520521844.921423
2018-03-08_091054,23.33,26.94,1520521854.921995
2018-03-08_091104,23.31,26.85,1520521864.922567
2018-03-08_091114,23.35,26.95,1520521874.923139
2018-03-08_091124,23.35,26.87,1520521884.923711
2018-03-08_091134,23.33,26.85,1520521894.924283
2018-03-08_091144,23.33,26.84,1520521904.924855
2018-03-08_091154,23.35,26.81,1520521914.925427
2018-03-08_091204,23.35,26.82,1520521924.925999
2018-03-08_091214,23.33,26.78,1520521934.926571
2018-03-08_091224,23.33,26.75,1520521944.927143
2018-03-08_091234,23.35,26.77,1520521954.927715
2018-03-08_091244,23.35,26.75,1520521964.928287
2018-03-08_091254,23.35,26.74,1520521974.928859
2018-03-08_091304,23.35,26.71,1520521984.929431
2018-03-08_091314,23.35,26.67,1520521994.930003
2018-03-08_091324,23.35,26.72,1520522004.931575
2018-03-08_091334,23.36,26.68,1520522014.932147
2018-03-08_091344,23.35,26.71,1520522024.932719
2018-03-08_091354,23.35,26.69,1520522034.933291
2018-03-08_091404,23.35,26.71,1520522044.933863
2018-03-08_091414,23.36,26.65,1520522054.934435
2018-03-08_091424,23.33,26.67,1520522064.935007
2018-03-08_091434,23.33,26.64,1520522074.935579
2018-03-08_091444,23.38,26.64,1520522084.938151
2018-03-08_091454,23.33,26.62,1520522094.938723
2018-03-08_091504,23.33,26.60,1520522104.939295
2018-03-08_091514,23.35,26.59,1520522114.939867
2018-03-08_091524,23.35,26.61,1520522124.940439
2018-03-08_091534,23.35,26.52,1520522134.941011
2018-03-08_091544,23.32,26.57,1520522144.942583
2018-03-08_091554,23.36,26.58,1520522154.943155
2018-03-08_091604,23.33,26.54,1520522164.943727
2018-03-08_091614,23.33,26.55,1520522174.944299
2018-03-08_091624,23.36,26.58,1520522184.944871
2018-03-08_091634,23.33,26.57,1520522194.945443
2018-03-08_091644,23.33,26.51,1520522204.946015
2018-03-08_091654,23.33,26.48,1520522214.946587
2018-03-08_091704,23.33,26.50,1520522224.947159
2018-03-08_091714,23.32,26.48,1520522234.947731
2018-03-08_091724,23.35,26.45,1520522244.948303
2018-03-08_091734,23.32,26.47,1520522254.948875
2018-03-08_091744,23.33,26.46,1520522264.949447
2018-03-08_091754,23.35,26.45,1520522274.950019
2018-03-08_091804,23.35,26.47,1520522284.950591
2018-03-08_091814,23.33,26.43,1520522294.951163
2018-03-08_091824,23.36,26.45,1520522304.951735
2018-03-08_091834,23.35,26.38,1520522314.952307
2018-03-08_091844,23.35,26.38,1520522324.952879
2018-03-08_091854,23.33,26.34,1520522334.953451
2018-03-08_091904,23.38,26.40,1520522344.954023
2018-03-08_091914,23.35,26.38,1520522354.954595
2018-03-08_091924,23.35,26.34,1520522364.955167
2018-03-08_091934,23.33,26.30,1520522374.955739
2018-03-08_091944,23.38,26.34,1520522384.956311
2018-03-08_091954,23.33,26.30,1520522394.956883
2018-03-08_092004,23.35,26.31,1520522404.957455
2018-03-08_092014,23.33,26.33,1520522414.958027
2018-03-08_092024,23.35,26.28,1520522424.958599
2018-03-08_092034,23.35,26.36,1520522434.959171
2018-03-08_092044,23.36,26.28,1520522444.959743
2018-03-08_092054,23.36,26.30,1520522454.960315
2018-03-08_092104,23.32,26.24,1520522464.960887
2018-03-08_092114,23.33,26.24,1520522474.961459
2018-03-08_092124,23.35,26.27,1520522484.962031
2018-03-08_092134,23.35,26.27,1520522494.962603
2018-03-08_092144,23.35,26.29,1520522504.963175
2018-03-08_092154,23.35,26.25,1520522514.963747
2018-03-08_092204,23.33,26.21,1520522524.964319
2018-03-08_092214,23.33,26.24,1520522534.964891
2018-03-08_092224,23.33,26.23,1520522544.965463
2018-03-08_092234,23.35,26.23,1520522554.966035
2018-03-08_092244,23.35,26.23,1520522564.966607
2018-03-08_092254,23.35,26.17,1520522574.967179
2018-03-08_092304,23.35,26.20,1520522584.967751
2018-03-08_092314,23.35,26.20,1520522594.968323
2018-03-08_092324,23.31,26.18,1520522604.968895
2018-03-08_092334,23.35,26.18,1520522614.969467
2018-03-08_092344,23.36,26.18,1520522624.970039
2018-03-08_092354,23.35,26.18,1520522634.970611
2018-03-08_092404,23.33,26.15,1520522644.971183
2018-03-08_092414,23.38,26.15,1520522654.971755
2018-03-08_092424,23.35,26.15,1520522664.972327
2018-03-08_092434,23.35,26.15,1520522674.972899
2018-03-08_092444,23.35,26.15,1520522684.973471
2018-03-08_092454,23.33,26.14,1520522694.974043
2018-03-08_092504,23.35,26.11,1520522704.974615
2018-03-08_092514,23.35,26.14,1520522714.975187
2018-03-08_092524,23.33,26.11,1520522724.975759
2018-03-08_092534,23.35,26.13,1520522734.976331
2018-03-08_092544,23.36,26.13,1520522744.976903
2018-03-08_092554,23.33,26.12,1520522754.977475
2018-03-08_092604,23.39,26.14,1520522764.978047
2018-03-08_092614,23.35,26.07,1520522774.978619
2018-03-08_092624,23.36,26.11,1520522784.979191
2018-03-08_092634,23.36,26.13,1520522794.979763
2018-03-08_092644,23.36,26.10,1520522804.980335
2018-03-08_092654,23.36,26.10,1520522814.980907
2018-03-08_092704,23.33,26.11,1520522824.981479
2018-03-08_092714,23.38,26.13,1520522834.982051
2018-03-08_092724,23.36,26.09,1520522844.982623
2018-03-08_092734,23.36,26.09,1520522854.983195
2018-03-08_092744,23.35,26.07,1520522864.983767
2018-03-08_092754,23.32,26.13,1520522874.984339
2018-03-08_092804,23.33,26.13,1520522884.984911
2018-03-08_092814,23.33,26.09,1520522894.985483
2018-03-08_092824,23.35,26.11,1520522904.986055
2018-03-08_092834,23.35,26.09,1520522914.986627
2018-03-08_092844,23.35,26.07,1520522924.987199
2018-03-08_092854,23.35,26.11,1520522934.987771
2018-03-08_092904,23.35,26.10,1520522944.988343
2018-03-08_092914,23.35,26.13,1520522954.988915
2018-03-08_092924,23.35,26.13,1520522964.989487
2018-03-08_092934,23.33,26.14,1520522974.990059
2018-03-08_092944,23.36,26.17,1520522984.990631
2018-03-08_092954,23.35,26.14,1520522994.991203
2018-03-08_093004,23.35,26.14,1520523004.991775
2018-03-08_093014,23.35,26.10,1520523014.992347
2018-03-08_093024,23.38,26.16,1520523024.992919
2018-03-08_093034,23.33,26.13,1520523034.993491
2018-03-08_093044,23.38,26.17,1520523044.994063
2018-03-08_093054,23.36,26.17,1520523054.994635
2018-03-08_093104,23.35,26.16,1520523064.995207
2018-03-08_093114,23.35,26.17,1520523074.995779
2018-03-08_093124,23.35,26.17,1520523084.996351
2018-03-08_093134,23.35,26.17,1520523094.996923
2018-03-08_093144,23.36,26.21,1520523104.997495
2018-03-08_093206,23.38,26.23,1520523126.209709
2018-03-08_093216,23.36,26.20,1520523136.210281
2018-03-08_093226,23.35,26.23,1520523146.210853
2018-03-08_093236,23.33,26.23,1520523156.211425
2018-03-08_093246,23.35,26.25,1520523166.211997
2018-03-08_093256,23.33,26.25,1520523176.212569
2018-03-08_093306,23.38,26.29,1520523186.213141
2018-03-08_093316,23.36,26.21,1520523196.213713
2018-03-08_093326,23.36,26.31,1520523206.214285
2018-03-08_093336,23.38,26.30,1520523216.214857
2018-03-08_093346,23.36,26.29,1520523226.215429
2018-03-08_093356,23.35,26.33,1520523236.216001
2018-03-08_093406,23.36,26.33,1520523246.216573
2018-03-08_093416,23.36,26.33,1520523256.218145
2018-03-08_093426,23.38,26.34,1520523266.218717
2018-03-08_093436,23.35,26.41,1520523276.219289
2018-03-08_093446,23.38,26.40,1520523286.219861
2018-03-08_093456,23.38,26.35,1520523296.220433
2018-03-08_093506,23.36,26.36,1520523306.221005
2018-03-08_093516,23.39,26.39,1520523316.221577
2018-03-08_093526,23.38,26.40,1520523326.222149
2018-03-08_093536,23.39,26.40,1520523336.222721
2018-03-08_093546,23.38,26.44,1520523346.223293
2018-03-08_093556,23.35,26.48,1520523356.223865
2018-03-08_093606,23.38,26.48,1520523366.224437
2018-03-08_093616,23.38,26.51,1520523376.225009
2018-03-08_093626,23.35,26.49,1520523386.225581
2018-03-08_093636,23.38,26.52,1520523396.226153
2018-03-08_093646,23.36,26.54,1520523406.226725
2018-03-08_093656,23.39,26.56,1520523416.227297
2018-03-08_093706,23.36,26.57,1520523426.227869
2018-03-08_093716,23.38,26.54,1520523436.228441
2018-03-08_093726,23.38,26.56,1520523446.229013
2018-03-08_093736,23.38,26.57,1520523456.229585
2018-03-08_093746,23.38,26.60,1520523466.230157
2018-03-08_093756,23.36,26.64,1520523476.230729
2018-03-08_093806,23.38,26.58,1520523486.231301
2018-03-08_093816,23.38,26.66,1520523496.231873
2018-03-08_093826,23.39,26.67,1520523506.232445
2018-03-08_093836,23.36,26.68,1520523516.233017
2018-03-08_093846,23.38,26.65,1520523526.233589
2018-03-08_093856,23.39,26.67,1520523536.234161
2018-03-08_093906,23.39,26.67,1520523546.234733
2018-03-08_093916,23.38,26.74,1520523556.235305
2018-03-08_093926,23.41,26.73,1520523566.235877
2018-03-08_093936,23.36,26.73,1520523576.236449
2018-03-08_093946,23.39,26.74,1520523586.237021
2018-03-08_093956,23.39,26.78,1520523596.237593
2018-03-08_094006,23.39,26.73,1520523606.238165
2018-03-08_094016,23.38,26.75,1520523616.238737
2018-03-08_094026,23.38,26.77,1520523626.239309
2018-03-08_094036,23.38,26.81,1520523636.239881
2018-03-08_094046,23.39,26.83,1520523646.240453
2018-03-08_094056,23.39,26.84,1520523656.241025
2018-03-08_094106,23.39,26.81,1520523666.241597
2018-03-08_094116,23.41,26.88,1520523676.242169
2018-03-08_094126,23.41,26.85,1520523686.242741
2018-03-08_094136,23.38,26.83,1520523696.243313
2018-03-08_094146,23.39,26.85,1520523706.243885
2018-03-08_094156,23.41,26.88,1520523716.244457
2018-03-08_094206,23.41,26.91,1520523726.245029
2018-03-08_094216,23.41,26.91,1520523736.245601
2018-03-08_094226,23.41,26.93,1520523746.246173
2018-03-08_094236,23.39,26.88,1520523756.246745
2018-03-08_094246,23.42,26.93,1520523766.247317
2018-03-08_094256,23.41,26.97,1520523776.247889
2018-03-08_094306,23.41,26.96,1520523786.248461
2018-03-08_094316,23.41,26.91,1520523796.249033
2018-03-08_094326,23.39,26.96,1520523806.249605
2018-03-08_094336,23.39,26.97,1520523816.250177
2018-03-08_094346,23.42,26.98,1520523826.250749
2018-03-08_094356,23.42,26.96,1520523836.251321
2018-03-08_094406,23.42,27.00,1520523846.251893
2018-03-08_094416,23.43,27.07,1520523856.252465
2018-03-08_094426,23.41,27.01,1520523866.253037
2018-03-08_094436,23.42,27.03,1520523876.253609
2018-03-08_094446,23.43,27.06,1520523886.254181
2018-03-08_094456,23.42,27.07,1520523896.254753
2018-03-08_094506,23.42,27.06,1520523906.255325
2018-03-08_094516,23.43,27.03,1520523916.255897
2018-03-08_094526,23.42,27.04,1520523926.256469
2018-03-08_094536,23.41,27.07,1520523936.257041
2018-03-08_094546,23.42,27.06,1520523946.257613
2018-03-08_094556,23.45,27.08,1520523956.258185
2018-03-08_094606,23.42,27.06,1520523966.258757
2018-03-08_094616,23.42,27.06,1520523976.259329
2018-03-08_094626,23.43,27.09,1520523986.259901
2018-03-08_094636,23.39,27.07,1520523996.260473
2018-03-08_094646,23.42,27.10,1520524006.261045
2018-03-08_094656,23.41,27.06,1520524016.261617
2018-03-08_094706,23.42,27.11,1520524026.262189
2018-03-08_094716,23.45,27.14,1520524036.262761
