date, temp (C), RH (%), epoch time (s)
2018-04-10_103643,22.94,25.81,1523374603.373171
2018-04-10_103653,22.95,25.83,1523374613.3737433
2018-04-10_103703,22.94,25.79,1523374623.3743153
2018-04-10_103713,22.94,25.78,1523374633.3748875
2018-04-10_103723,22.94,25.76,1523374643.3754594
2018-04-10_103733,22.95,25.84,1523374653.3760312
2018-04-10_103743,22.95,25.81,1523374663.3766034
2018-04-10_103753,22.93,25.78,1523374673.3771753
2018-04-10_103803,22.94,25.80,1523374683.3841915
2018-04-10_103813,22.95,25.80,1523374693.3842053
2018-04-10_103823,22.93,25.80,1523374703.3842194
2018-04-10_103833,22.93,25.77,1523374713.3842335
2018-04-10_103843,22.94,25.75,1523374723.3842473
2018-04-10_103853,22.95,25.73,1523374733.3842614
2018-04-10_103903,22.93,25.76,1523374743.3842754
2018-04-10_103913,22.93,25.71,1523374753.3842893
2018-04-10_103923,22.94,25.75,1523374763.3843033
2018-04-10_103933,22.95,25.73,1523374773.3843174
2018-04-10_103943,22.94,25.70,1523374783.3843315
2018-04-10_103953,22.94,25.69,1523374793.3843453
2018-04-10_104003,22.95,25.70,1523374803.3843594
2018-04-10_104013,22.94,25.71,1523374813.3843734
2018-04-10_104023,22.94,25.65,1523374823.3843873
2018-04-10_104033,22.94,25.67,1523374833.3844013
2018-04-10_104043,22.93,25.67,1523374843.3844154
2018-04-10_104053,22.94,25.67,1523374853.3844292
2018-04-10_104103,22.94,25.65,1523374863.3844433
2018-04-10_104113,22.95,25.65,1523374873.3844576
2018-04-10_104123,22.94,25.63,1523374883.3844712
2018-04-10_104133,22.94,25.64,1523374893.3844855
2018-04-10_104143,22.95,25.63,1523374903.3844995
2018-04-10_104153,22.94,25.69,1523374913.3845134
2018-04-10_104203,22.95,25.61,1523374923.3845274
2018-04-10_104213,22.94,25.59,1523374933.3845415
2018-04-10_104223,22.94,25.61,1523374943.3845556
2018-04-10_104233,22.94,25.60,1523374953.3845694
2018-04-10_104243,22.95,25.59,1523374963.3845835
2018-04-10_104253,22.94,25.59,1523374973.3845975
2018-04-10_104303,22.94,25.54,1523374983.3846114
2018-04-10_104313,22.95,25.54,1523374993.3846254
2018-04-10_104323,22.94,25.53,1523375003.3846395
2018-04-10_104333,22.97,25.53,1523375013.3846533
2018-04-10_104343,22.95,25.53,1523375023.3846674
2018-04-10_104353,22.94,25.49,1523375033.3846815
2018-04-10_104403,22.94,25.50,1523375043.3846953
2018-04-10_104413,22.95,25.55,1523375053.3847094
2018-04-10_104423,22.93,25.51,1523375063.3847234
2018-04-10_104433,22.93,25.46,1523375073.3847373
2018-04-10_104443,22.94,25.47,1523375083.3847513
2018-04-10_104453,22.94,25.46,1523375093.3847654
2018-04-10_104503,22.94,25.47,1523375103.3847795
2018-04-10_104513,22.91,25.42,1523375113.3847933
2018-04-10_104523,22.91,25.43,1523375123.3848073
2018-04-10_104533,22.94,25.46,1523375133.3848214
2018-04-10_104543,22.93,25.47,1523375143.3848352
2018-04-10_104553,22.93,25.47,1523375153.3848493
2018-04-10_104603,22.93,25.46,1523375163.3848634
2018-04-10_104613,22.93,25.46,1523375173.3848772
2018-04-10_104623,22.91,25.43,1523375183.3848915
