2018-03-14_000014,23.67,25.52,1521003614.761082
2018-03-14_000024,23.69,25.49,1521003624.761654
2018-03-14_000034,23.69,25.49,1521003634.762226
2018-03-14_000044,23.69,25.46,1521003644.762798
2018-03-14_000054,23.70,25.49,1521003654.76337
2018-03-14_000104,23.70,25.50,1521003664.763942
2018-03-14_000114,23.67,25.54,1521003674.764514
2018-03-14_000124,23.70,25.50,1521003684.765086
2018-03-14_000134,23.67,25.52,1521003694.765658
2018-03-14_000144,23.70,25.57,1521003704.76623
2018-03-14_000154,23.69,25.49,1521003714.766802
2018-03-14_000204,23.72,25.54,1521003724.767374
2018-03-14_000214,23.67,25.54,1521003734.767946
2018-03-14_000224,23.70,25.53,1521003744.768518
2018-03-14_000234,23.69,25.53,1521003754.76909
2018-03-14_000244,23.69,25.56,1521003764.769662
2018-03-14_000254,23.70,25.60,1521003774.770234
2018-03-14_000304,23.72,25.56,1521003784.770806
2018-03-14_000314,23.70,25.58,1521003794.771378
2018-03-14_000324,23.69,25.53,1521003804.77195
2018-03-14_000334,23.72,25.60,1521003814.772522
2018-03-14_000344,23.69,25.61,1521003824.773094
2018-03-14_000354,23.70,25.60,1521003834.773666
2018-03-14_000404,23.69,25.64,1521003844.774238
2018-03-14_000414,23.70,25.61,1521003854.77481
2018-03-14_000424,23.72,25.61,1521003864.775382
2018-03-14_000434,23.70,25.66,1521003874.775954
2018-03-14_000444,23.70,25.64,1521003884.776526
2018-03-14_000454,23.70,25.61,1521003894.777098
2018-03-14_000504,23.70,25.63,1521003904.77767
2018-03-14_000514,23.70,25.65,1521003914.778242
2018-03-14_000524,23.72,25.64,1521003924.778814
2018-03-14_000534,23.70,25.67,1521003934.779386
2018-03-14_000544,23.69,25.65,1521003944.779958
2018-03-14_000554,23.70,25.66,1521003954.78053
2018-03-14_000604,23.72,25.67,1521003964.781102
2018-03-14_000614,23.72,25.69,1521003974.781674
2018-03-14_000624,23.70,25.71,1521003984.782246
2018-03-14_000634,23.70,25.73,1521003994.782818
2018-03-14_000644,23.70,25.73,1521004004.78339
2018-03-14_000654,23.72,25.76,1521004014.783962
2018-03-14_000704,23.67,25.74,1521004024.784534
2018-03-14_000714,23.70,25.74,1521004034.785106
2018-03-14_000724,23.70,25.70,1521004044.785678
2018-03-14_000734,23.70,25.77,1521004054.78625
2018-03-14_000744,23.70,25.79,1521004064.786822
2018-03-14_000754,23.72,25.73,1521004074.787394
2018-03-14_000804,23.70,25.79,1521004084.787966
2018-03-14_000814,23.72,25.81,1521004094.788538
2018-03-14_000824,23.72,25.82,1521004104.78911
2018-03-14_000834,23.72,25.84,1521004114.789682
2018-03-14_000844,23.72,25.84,1521004124.790254
2018-03-14_000854,23.70,25.80,1521004134.790826
2018-03-14_000904,23.70,25.83,1521004144.791398
2018-03-14_000914,23.70,25.82,1521004154.79197
2018-03-14_000924,23.73,25.82,1521004164.792542
2018-03-14_000934,23.73,25.84,1521004174.793114
2018-03-14_000944,23.73,25.84,1521004184.793686
2018-03-14_000954,23.72,25.84,1521004194.794258
2018-03-14_001004,23.70,25.89,1521004204.79483
2018-03-14_001014,23.73,25.87,1521004214.795402
2018-03-14_001024,23.72,25.89,1521004224.795974
2018-03-14_001034,23.73,25.93,1521004234.796546
2018-03-14_001044,23.73,25.93,1521004244.797118
2018-03-14_001054,23.72,25.90,1521004254.79769
2018-03-14_001104,23.72,25.97,1521004264.798262
2018-03-14_001114,23.73,25.94,1521004274.798834
2018-03-14_001124,23.73,25.98,1521004284.799406
2018-03-14_001134,23.70,25.97,1521004294.799978
2018-03-14_001144,23.70,26.00,1521004304.80055
2018-03-14_001154,23.72,25.99,1521004314.801122
2018-03-14_001204,23.73,25.96,1521004324.801694
2018-03-14_001214,23.72,25.97,1521004334.802266
2018-03-14_001224,23.73,26.02,1521004344.802838
2018-03-14_001234,23.74,26.03,1521004354.80341
2018-03-14_001244,23.73,25.94,1521004364.803982
2018-03-14_001254,23.73,26.03,1521004374.804554
2018-03-14_001304,23.73,26.04,1521004384.805126
2018-03-14_001314,23.76,26.03,1521004394.805698
2018-03-14_001324,23.73,26.03,1521004404.80627
2018-03-14_001334,23.73,26.06,1521004414.806842
2018-03-14_001344,23.73,26.07,1521004424.807414
2018-03-14_001354,23.72,26.07,1521004434.807986
2018-03-14_001404,23.73,26.12,1521004444.808558
2018-03-14_001414,23.73,26.10,1521004454.80913
