date, temp (C), RH (%), epoch time (s)
2018-03-06_102428,25.00,30.74,1520353468.618339
2018-03-06_102438,24.98,30.73,1520353478.618353
2018-03-06_102448,24.93,30.69,1520353488.618367
2018-03-06_102458,24.93,30.55,1520353498.618381
2018-03-06_102508,24.90,30.49,1520353508.618395
2018-03-06_102518,24.87,30.50,1520353518.618409
2018-03-06_102528,24.81,30.43,1520353528.618423
2018-03-06_102538,24.83,30.38,1520353538.618437
2018-03-06_102548,24.77,30.37,1520353548.618451
2018-03-06_102558,24.76,30.49,1520353558.618465
2018-03-06_102608,24.73,30.55,1520353568.618479
2018-03-06_102618,24.70,30.46,1520353578.618493
2018-03-06_102628,24.70,30.37,1520353588.618507
2018-03-06_102638,24.67,30.38,1520353598.618521
2018-03-06_102648,24.64,30.37,1520353608.618535
2018-03-06_102658,24.63,30.42,1520353618.618549
2018-03-06_102708,24.59,30.31,1520353628.618563
2018-03-06_102718,24.58,30.28,1520353638.618577
2018-03-06_102728,24.53,30.30,1520353648.618591
2018-03-06_102738,24.52,30.21,1520353658.618605
2018-03-06_102748,24.49,30.13,1520353668.618619
2018-03-06_102758,24.48,30.17,1520353678.618633
2018-03-06_102808,24.46,30.20,1520353688.618647
2018-03-06_102818,24.45,30.14,1520353698.618661
2018-03-06_102828,24.42,30.22,1520353708.618675
2018-03-06_102838,24.38,30.25,1520353718.618689
2018-03-06_102848,24.36,30.02,1520353728.618703
2018-03-06_102858,24.36,30.10,1520353738.618717
2018-03-06_102908,24.35,30.08,1520353748.618731
2018-03-06_102918,24.32,30.17,1520353758.618745
2018-03-06_102928,24.32,30.11,1520353768.618759
2018-03-06_102938,24.28,30.12,1520353778.618773
2018-03-06_102948,24.25,30.15,1520353788.618787
2018-03-06_102958,24.24,30.10,1520353798.618801
2018-03-06_103008,24.22,30.15,1520353808.618815
2018-03-06_103018,24.22,30.10,1520353818.618829
2018-03-06_103028,24.21,30.10,1520353828.618843
2018-03-06_103038,24.18,30.06,1520353838.618857
2018-03-06_103048,24.15,30.13,1520353848.618871
2018-03-06_103058,24.14,30.11,1520353858.618885
2018-03-06_103108,24.12,30.13,1520353868.618899
2018-03-06_103118,24.09,30.01,1520353878.618913
2018-03-06_103128,24.12,30.05,1520353888.618927
2018-03-06_103138,24.08,29.98,1520353898.618941
2018-03-06_103148,24.07,30.02,1520353908.618955
2018-03-06_103158,24.07,30.03,1520353918.618969
2018-03-06_103208,24.04,29.90,1520353928.618983
2018-03-06_103218,24.04,29.96,1520353938.618997
2018-03-06_103228,24.01,30.04,1520353948.619011
2018-03-06_103238,23.97,29.87,1520353958.619025
2018-03-06_103248,23.98,29.93,1520353968.619039
2018-03-06_103258,23.96,29.94,1520353978.619053
2018-03-06_103308,23.96,29.97,1520353988.619067
2018-03-06_103318,23.94,30.02,1520353998.619081
2018-03-06_103328,23.93,30.02,1520354008.619095
2018-03-06_103338,23.93,29.99,1520354018.619109
2018-03-06_103348,23.88,30.01,1520354028.619123
2018-03-06_103358,23.88,30.04,1520354038.619137
2018-03-06_103408,23.88,29.94,1520354048.619151
2018-03-06_103418,23.87,29.99,1520354058.619165
2018-03-06_103428,23.86,29.94,1520354068.619179
2018-03-06_103438,23.83,29.97,1520354078.619193
2018-03-06_103448,23.84,30.02,1520354088.619207
2018-03-06_103458,23.83,29.93,1520354098.619221
2018-03-06_103508,23.80,29.73,1520354108.619235
2018-03-06_103518,23.81,29.71,1520354118.619249
2018-03-06_103528,23.81,29.84,1520354128.619263
2018-03-06_103538,23.79,29.90,1520354138.619277
2018-03-06_103548,23.77,29.84,1520354148.619291
2018-03-06_103558,23.76,29.88,1520354158.619305
2018-03-06_103608,23.74,29.89,1520354168.619319
2018-03-06_103618,23.70,29.95,1520354178.619333
2018-03-06_103628,23.73,29.92,1520354188.619347
2018-03-06_103638,23.73,29.85,1520354198.619361
2018-03-06_103648,23.69,29.80,1520354208.619375
2018-03-06_103658,23.73,29.82,1520354218.619389
2018-03-06_103708,23.69,29.88,1520354228.619403
2018-03-06_103718,23.67,29.86,1520354238.619417
2018-03-06_103728,23.66,29.87,1520354248.619431
2018-03-06_103738,23.66,29.91,1520354258.619445
2018-03-06_103748,23.60,29.81,1520354268.619459
2018-03-06_103758,23.63,29.84,1520354278.619473
2018-03-06_103808,23.60,29.84,1520354288.619487
2018-03-06_103818,23.61,29.89,1520354298.619501
2018-03-06_103828,23.60,29.83,1520354308.619515
2018-03-06_103838,23.59,29.82,1520354318.619529
2018-03-06_103848,23.56,29.83,1520354328.619543
2018-03-06_103858,23.56,29.82,1520354338.619557
2018-03-06_103908,23.56,29.91,1520354348.619571
2018-03-06_103918,23.53,29.81,1520354358.619585
2018-03-06_103928,23.53,29.86,1520354368.619599
2018-03-06_103938,23.56,29.76,1520354378.619613
2018-03-06_103948,23.54,29.85,1520354388.619627
2018-03-06_103958,23.52,29.79,1520354398.619641
2018-03-06_104008,23.53,29.83,1520354408.619655
2018-03-06_104018,23.53,29.82,1520354418.619669
2018-03-06_104028,23.52,29.80,1520354428.619683
2018-03-06_104038,23.50,29.72,1520354438.619697
2018-03-06_104048,23.50,29.73,1520354448.619711
2018-03-06_104058,23.48,29.66,1520354458.619725
2018-03-06_104108,23.48,29.72,1520354468.619739
2018-03-06_104118,23.48,29.73,1520354478.619753
2018-03-06_104128,23.46,29.72,1520354488.619767
2018-03-06_104138,23.46,29.69,1520354498.619781
2018-03-06_104148,23.48,29.69,1520354508.619795
2018-03-06_104158,23.45,29.67,1520354518.619809
2018-03-06_104208,23.46,29.66,1520354528.619823
2018-03-06_104218,23.45,29.64,1520354538.619837
2018-03-06_104228,23.45,29.68,1520354548.619851
2018-03-06_104238,23.45,29.64,1520354558.619865
2018-03-06_104248,23.45,29.66,1520354568.619879
2018-03-06_104258,23.45,29.65,1520354578.619893
2018-03-06_104308,23.43,29.64,1520354588.619907
2018-03-06_104318,23.42,29.70,1520354598.619921
2018-03-06_104328,23.42,29.75,1520354608.619935
2018-03-06_104338,23.45,29.74,1520354618.619949
2018-03-06_104348,23.42,29.65,1520354628.619963
2018-03-06_104358,23.41,29.61,1520354638.619977
2018-03-06_104408,23.42,29.62,1520354648.619991
2018-03-06_104418,23.42,29.53,1520354658.620005
2018-03-06_104428,23.41,29.58,1520354668.620019
2018-03-06_104438,23.42,29.54,1520354678.620033
2018-03-06_104448,23.41,29.46,1520354688.620047
2018-03-06_104458,23.38,29.43,1520354698.620061
2018-03-06_104508,23.39,29.41,1520354708.620075
2018-03-06_104518,23.39,29.42,1520354718.620089
2018-03-06_104528,23.38,29.39,1520354728.620103
2018-03-06_104538,23.36,29.35,1520354738.620117
2018-03-06_104548,23.38,29.41,1520354748.620131
2018-03-06_104558,23.36,29.28,1520354758.620145
2018-03-06_104608,23.36,29.30,1520354768.620159
2018-03-06_104618,23.38,29.23,1520354778.620173
2018-03-06_104628,23.35,29.29,1520354788.620187
2018-03-06_104638,23.35,29.15,1520354798.620201
2018-03-06_104648,23.35,29.21,1520354808.620215
2018-03-06_104658,23.33,29.21,1520354818.620229
2018-03-06_104708,23.35,29.22,1520354828.620243
2018-03-06_104718,23.33,29.15,1520354838.620257
2018-03-06_104728,23.33,29.19,1520354848.620271
2018-03-06_104738,23.31,29.28,1520354858.620285
2018-03-06_104748,23.35,29.13,1520354868.620299
2018-03-06_104758,23.33,29.11,1520354878.620313
2018-03-06_104808,23.33,29.15,1520354888.620327
2018-03-06_104818,23.32,29.15,1520354898.620341
2018-03-06_104828,23.31,29.11,1520354908.620355
2018-03-06_104838,23.32,29.05,1520354918.620369
2018-03-06_104848,23.31,29.03,1520354928.620383
2018-03-06_104858,23.32,29.09,1520354938.620397
2018-03-06_104908,23.32,29.05,1520354948.620411
2018-03-06_104918,23.32,29.03,1520354958.620425
2018-03-06_104928,23.33,28.91,1520354968.620439
2018-03-06_104938,23.31,28.83,1520354978.620453
2018-03-06_104948,23.31,28.77,1520354988.620467
2018-03-06_104958,23.32,28.71,1520354998.620481
2018-03-06_105008,23.31,28.78,1520355008.620495
2018-03-06_105018,23.29,28.79,1520355018.620509
2018-03-06_105028,23.31,28.83,1520355028.620523
2018-03-06_105038,23.29,28.80,1520355038.620537
2018-03-06_105048,23.29,28.76,1520355048.620551
2018-03-06_105058,23.29,28.73,1520355058.620565
2018-03-06_105108,23.29,28.71,1520355068.620579
2018-03-06_105118,23.31,28.72,1520355078.620593
2018-03-06_105128,23.28,28.76,1520355088.620607
2018-03-06_105138,23.28,28.68,1520355098.620621
2018-03-06_105148,23.28,28.62,1520355108.620635
2018-03-06_105158,23.28,28.53,1520355118.620649
2018-03-06_105208,23.28,28.51,1520355128.620663
2018-03-06_105218,23.29,28.56,1520355138.620677
2018-03-06_105228,23.28,28.55,1520355148.620691
2018-03-06_105238,23.26,28.47,1520355158.620705
2018-03-06_105248,23.29,28.48,1520355168.620719
2018-03-06_105258,23.26,28.49,1520355178.620733
2018-03-06_105308,23.28,28.45,1520355188.620747
2018-03-06_105318,23.25,28.39,1520355198.620761
2018-03-06_105328,23.24,28.43,1520355208.620775
2018-03-06_105338,23.25,28.38,1520355218.620789
