2018-04-07_000018,23.67,24.08,1523077218.7256105
2018-04-07_000028,23.67,24.02,1523077228.7271826
2018-04-07_000038,23.69,24.02,1523077238.7277548
2018-04-07_000048,23.67,24.07,1523077248.7283266
2018-04-07_000058,23.70,24.04,1523077258.7288988
2018-04-07_000108,23.69,24.02,1523077268.7294707
2018-04-07_000118,23.70,24.01,1523077278.7300427
2018-04-07_000128,23.69,24.05,1523077288.730615
2018-04-07_000138,23.69,24.05,1523077298.7311866
2018-04-07_000148,23.70,24.02,1523077308.7317586
2018-04-07_000158,23.67,24.02,1523077318.7323308
2018-04-07_000208,23.67,24.02,1523077328.7329028
2018-04-07_000218,23.70,24.02,1523077338.7344747
2018-04-07_000228,23.69,24.05,1523077348.7350466
2018-04-07_000238,23.70,23.95,1523077358.7356188
2018-04-07_000248,23.72,23.98,1523077368.7361908
2018-04-07_000258,23.69,23.98,1523077378.7367625
2018-04-07_000308,23.70,24.01,1523077388.7373347
2018-04-07_000318,23.72,24.00,1523077398.7379067
2018-04-07_000328,23.70,23.94,1523077408.7384787
2018-04-07_000338,23.70,23.98,1523077418.7390509
2018-04-07_000348,23.70,23.98,1523077428.7396226
2018-04-07_000358,23.69,23.96,1523077438.7401948
2018-04-07_000408,23.70,23.96,1523077448.7407668
2018-04-07_000418,23.70,23.96,1523077458.7413387
2018-04-07_000428,23.69,23.95,1523077468.7419107
2018-04-07_000438,23.70,23.94,1523077478.7424827
2018-04-07_000448,23.69,23.92,1523077488.7430546
2018-04-07_000458,23.70,23.91,1523077498.7436268
2018-04-07_000508,23.69,23.90,1523077508.7441986
2018-04-07_000518,23.69,23.94,1523077518.7447708
2018-04-07_000528,23.70,23.92,1523077528.7453427
2018-04-07_000538,23.70,23.91,1523077538.7459147
2018-04-07_000548,23.70,23.93,1523077548.746487
2018-04-07_000558,23.72,23.92,1523077558.7470586
2018-04-07_000608,23.70,23.92,1523077568.7476306
2018-04-07_000618,23.70,23.91,1523077578.7482028
2018-04-07_000628,23.69,23.91,1523077588.7487748
2018-04-07_000638,23.72,23.88,1523077598.7493467
2018-04-07_000648,23.72,23.88,1523077608.7499187
2018-04-07_000658,23.70,23.90,1523077618.7504907
2018-04-07_000708,23.70,23.91,1523077628.7510629
2018-04-07_000718,23.70,23.88,1523077638.7516346
2018-04-07_000728,23.70,23.90,1523077648.7522066
2018-04-07_000738,23.69,23.85,1523077658.7527788
2018-04-07_000748,23.72,23.88,1523077668.7533507
2018-04-07_000758,23.70,23.85,1523077678.7539227
2018-04-07_000808,23.69,23.87,1523077688.7544947
2018-04-07_000818,23.69,23.88,1523077698.7550666
2018-04-07_000828,23.70,23.81,1523077708.7556388
2018-04-07_000838,23.69,23.85,1523077718.7562108
2018-04-07_000848,23.70,23.85,1523077728.7567825
2018-04-07_000858,23.72,23.81,1523077738.7573547
2018-04-07_000908,23.72,23.87,1523077748.7579267
2018-04-07_000918,23.73,23.81,1523077758.758499
2018-04-07_000928,23.69,23.81,1523077768.7590706
2018-04-07_000938,23.72,23.85,1523077778.7596426
2018-04-07_000948,23.69,23.83,1523077788.7602148
2018-04-07_000958,23.69,23.83,1523077798.7607868
2018-04-07_001008,23.69,23.81,1523077808.7613585
2018-04-07_001018,23.69,23.83,1523077818.7619307
2018-04-07_001028,23.69,23.83,1523077828.7625027
2018-04-07_001038,23.70,23.83,1523077838.7630749
2018-04-07_001048,23.70,23.80,1523077848.7636466
2018-04-07_001058,23.70,23.84,1523077858.7642186
2018-04-07_001108,23.70,23.78,1523077868.7647908
2018-04-07_001118,23.72,23.80,1523077878.7653627
2018-04-07_001128,23.72,23.78,1523077888.7659347
2018-04-07_001138,23.73,23.80,1523077898.7665067
2018-04-07_001148,23.70,23.81,1523077908.7670786
2018-04-07_001158,23.69,23.81,1523077918.7676508
2018-04-07_001208,23.70,23.83,1523077928.7682228
2018-04-07_001218,23.70,23.80,1523077938.7687945
2018-04-07_001228,23.69,23.81,1523077948.7693667
2018-04-07_001238,23.70,23.83,1523077958.7699387
2018-04-07_001248,23.67,23.84,1523077968.7705107
2018-04-07_001258,23.70,23.81,1523077978.7710826
2018-04-07_001308,23.69,23.84,1523077988.7716546
2018-04-07_001318,23.70,23.84,1523077998.7722268
2018-04-07_001328,23.72,23.85,1523078008.7727988
2018-04-07_001338,23.69,23.80,1523078018.7733707
2018-04-07_001348,23.69,23.85,1523078028.7739427
2018-04-07_001358,23.70,23.83,1523078038.7745147
2018-04-07_001408,23.69,23.83,1523078048.7750866
2018-04-07_001418,23.70,23.84,1523078058.7756588
2018-04-07_001428,23.67,23.88,1523078068.7762306
2018-04-07_001438,23.69,23.84,1523078078.7768028
2018-04-07_001448,23.69,23.87,1523078088.7773747
2018-04-07_001458,23.72,23.90,1523078098.7779467
2018-04-07_001508,23.69,23.91,1523078108.7785187
2018-04-07_001518,23.69,23.89,1523078118.7790906
2018-04-07_001528,23.73,23.90,1523078128.7796626
2018-04-07_001538,23.70,23.88,1523078138.7802348
2018-04-07_001548,23.70,23.92,1523078148.7808065
2018-04-07_001558,23.70,23.96,1523078158.7813787
2018-04-07_001608,23.72,23.96,1523078168.7819507
2018-04-07_001618,23.67,23.96,1523078178.7825227
2018-04-07_001628,23.70,23.94,1523078188.783095
2018-04-07_001638,23.69,23.97,1523078198.7836666
2018-04-07_001648,23.69,24.01,1523078208.7842386
2018-04-07_001658,23.69,23.97,1523078218.7848108
2018-04-07_001708,23.73,23.99,1523078228.7853827
2018-04-07_001718,23.69,24.02,1523078238.7859547
2018-04-07_001728,23.70,24.02,1523078248.7865267
2018-04-07_001738,23.72,24.00,1523078258.7870986
2018-04-07_001748,23.69,24.01,1523078268.7876709
2018-04-07_001758,23.72,24.05,1523078278.7882426
2018-04-07_001808,23.70,24.05,1523078288.7888145
2018-04-07_001818,23.69,24.05,1523078298.7893867
2018-04-07_001828,23.69,24.07,1523078308.7899587
2018-04-07_001838,23.70,24.04,1523078318.790531
2018-04-07_001848,23.70,24.04,1523078328.7911026
2018-04-07_001858,23.70,24.07,1523078338.7916746
2018-04-07_001908,23.70,24.08,1523078348.7922468
2018-04-07_001918,23.72,24.07,1523078358.7928188
2018-04-07_001928,23.70,24.07,1523078368.7933905
2018-04-07_001938,23.70,24.12,1523078378.7939627
2018-04-07_001948,23.72,24.10,1523078388.7945347
2018-04-07_001958,23.70,24.12,1523078398.795107
2018-04-07_002008,23.72,24.20,1523078408.7956786
2018-04-07_002018,23.70,24.15,1523078418.7962506
2018-04-07_002028,23.70,24.15,1523078428.7968228
2018-04-07_002038,23.72,24.18,1523078438.7973948
2018-04-07_002048,23.70,24.17,1523078448.7979665
2018-04-07_002058,23.72,24.21,1523078458.7985387
