st00001,5 00-00-00, ,wk-spenders01,2018-03-22_095552
st00002,5 00-00-00, ,wk-spenders01,2018-03-22_095552
st00003,5 00-00-00, ,wk-spenders01,2018-03-22_095552
st00004,5 00-00-00, ,wk-spenders01,2018-03-22_095552
st00005,5 00-00-00, ,wk-spenders01,2018-03-22_095552
st00006,5 00-00-00, ,wk-spenders01,2018-03-22_095552
st00007,5 00-00-00, ,wk-spenders01,2018-03-22_095552
st00008,5 00-00-00, ,wk-spenders01,2018-03-22_095552
st00009,5 00-00-00, ,wk-spenders01,2018-03-22_095552
st00010,5 00-00-00, ,wk-spenders01,2018-03-22_095552
st00011,5 00-00-00, ,wk-spenders01,2018-03-22_095552
st00012,5 00-00-00, ,wk-spenders01,2018-03-22_095552
st00013,5 00-00-00, ,wk-spenders01,2018-03-22_095552
st00014,5 00-00-00, ,wk-spenders01,2018-03-22_095552
st00015,5 00-00-00, ,wk-spenders01,2018-03-22_095552
st00016,5 00-00-00, ,wk-spenders01,2018-03-22_095552
st00017,5 00-00-00, ,wk-spenders01,2018-03-22_095552
st00018,5 00-00-00, ,wk-spenders01,2018-03-22_095552
st00019,5 00-00-00, ,wk-spenders01,2018-03-22_095552
st00020,5 00-00-00, ,wk-spenders01,2018-03-22_095552
st00021,5 00-00-00, ,wk-spenders01,2018-03-22_095552
st00022,5 00-00-00, ,wk-spenders01,2018-03-22_095552
st00023,5 00-00-00, ,wk-spenders01,2018-03-22_095552
st00024,5 00-00-00, ,wk-spenders01,2018-03-22_095552
