Straw Id,   Timestamp,    Worker ID,     Workstation Id,  Resistance(Ohms),  Temp(F),  Humidity(%), Measurement Type, Pass/Fail 
st00877, 2017/11/13 09:50:13, WK-CKAMPA01,WSB-01,125,72.5,25, inside-inside, fail
st00877, 2017/11/13 09:48:09, WK-CKAMPA01,WSB-01, inf,72.5,25, inside-outside, pass
st00877, 2017/11/13 09:48:10, WK-CKAMPA01,WSB-01, inf,72.5,25, outside-inside, pass
st00877, 2017/11/13 09:50:13, WK-CKAMPA01,WSB-01,70.7,72.5,25, outside-outside, fail
st00878, 2017/11/13 09:50:11, WK-CKAMPA01,WSB-01,108,72.5,25, inside-inside, fail
st00878, 2017/11/13 09:48:08, WK-CKAMPA01,WSB-01, inf,72.5,25, inside-outside, pass
st00878, 2017/11/13 09:48:08, WK-CKAMPA01,WSB-01, inf,72.5,25, outside-inside, pass
st00878, 2017/11/13 09:50:12, WK-CKAMPA01,WSB-01,80,72.5,25, outside-outside, fail
st00879, 2017/11/13 09:50:10, WK-CKAMPA01,WSB-01,259.7226414,72.5,25, inside-inside, fail
st00879, 2017/11/13 09:48:07, WK-CKAMPA01,WSB-01, inf,72.5,25, inside-outside, pass
st00879, 2017/11/13 09:48:07, WK-CKAMPA01,WSB-01, inf,72.5,25, outside-inside, pass
st00879, 2017/11/13 09:48:08, WK-CKAMPA01,WSB-01,120.1632557,72.5,25, outside-outside, pass
st00880, 2017/11/13 09:48:06, WK-CKAMPA01,WSB-01,174.6561431,72.5,25, inside-inside, pass
st00880, 2017/11/13 09:48:06, WK-CKAMPA01,WSB-01, inf,72.5,25, inside-outside, pass
st00880, 2017/11/13 09:48:06, WK-CKAMPA01,WSB-01, inf,72.5,25, outside-inside, pass
st00880, 2017/11/13 09:49:07, WK-CKAMPA01,WSB-01,122.5136102,72.5,25, outside-outside, pass
st00881, 2017/11/13 09:48:09, WK-CKAMPA01,WSB-01,166.6368978,72.5,25, inside-inside, pass
st00881, 2017/11/13 09:48:09, WK-CKAMPA01,WSB-01, inf,72.5,25, inside-outside, pass
st00881, 2017/11/13 09:48:10, WK-CKAMPA01,WSB-01, inf,72.5,25, outside-inside, pass
st00881, 2017/11/13 09:48:10, WK-CKAMPA01,WSB-01,126.3140345,72.5,25, outside-outside, pass
st00882, 2017/11/13 09:48:08, WK-CKAMPA01,WSB-01,221.6504835,72.5,25, inside-inside, pass
st00882, 2017/11/13 09:48:08, WK-CKAMPA01,WSB-01, inf,72.5,25, inside-outside, pass
st00882, 2017/11/13 09:48:08, WK-CKAMPA01,WSB-01, inf,72.5,25, outside-inside, pass
st00882, 2017/11/13 09:48:09, WK-CKAMPA01,WSB-01,123.1516614,72.5,25, outside-outside, pass
st00883, 2017/11/13 09:48:07, WK-CKAMPA01,WSB-01,189.9745674,72.5,25, inside-inside, pass
st00883, 2017/11/13 09:48:07, WK-CKAMPA01,WSB-01, inf,72.5,25, inside-outside, pass
st00883, 2017/11/13 09:48:07, WK-CKAMPA01,WSB-01, inf,72.5,25, outside-inside, pass
st00883, 2017/11/13 09:48:08, WK-CKAMPA01,WSB-01,128.7359931,72.5,25, outside-outside, pass
st00884, 2017/11/13 09:48:06, WK-CKAMPA01,WSB-01,181.3290843,72.5,25, inside-inside, pass
st00884, 2017/11/13 09:48:06, WK-CKAMPA01,WSB-01, inf,72.5,25, inside-outside, pass
st00884, 2017/11/13 09:48:06, WK-CKAMPA01,WSB-01, inf,72.5,25, outside-inside, pass
st00884, 2017/11/13 09:50:10, WK-CKAMPA01,WSB-01,263.9064404,72.5,25, outside-outside, fail
st00885, 2017/11/13 09:48:09, WK-CKAMPA01,WSB-01,173.3799521,72.5,25, inside-inside, pass
st00885, 2017/11/13 09:48:09, WK-CKAMPA01,WSB-01, inf,72.5,25, inside-outside, pass
st00885, 2017/11/13 09:48:10, WK-CKAMPA01,WSB-01, inf,72.5,25, outside-inside, pass
st00885, 2017/11/13 09:48:10, WK-CKAMPA01,WSB-01,124.8015224,72.5,25, outside-outside, pass
st00886, 2017/11/13 09:48:08, WK-CKAMPA01,WSB-01,169.5706759,72.5,25, inside-inside, pass
st00886, 2017/11/13 09:48:08, WK-CKAMPA01,WSB-01, inf,72.5,25, inside-outside, pass
st00886, 2017/11/13 09:48:08, WK-CKAMPA01,WSB-01, inf,72.5,25, outside-inside, pass
st00886, 2017/11/13 09:48:09, WK-CKAMPA01,WSB-01,132.4749056,72.5,25, outside-outside, pass
st00887, 2017/11/13 09:48:07, WK-CKAMPA01,WSB-01,197.2299333,72.5,25, inside-inside, pass
st00887, 2017/11/13 09:50:11, WK-CKAMPA01,WSB-01, inf,72.5,25, inside-outside, pass
st00887, 2017/11/13 09:50:11, WK-CKAMPA01,WSB-01, inf,72.5,25, outside-inside, pass
st00887, 2017/11/13 09:50:11, WK-CKAMPA01,WSB-01,129.9880406,72.5,25, outside-outside, pass
