Straw Id,   Timestamp,    Worker ID,     Workstation Id,  Resistance(Ohms),  Temp(F),  Humidity(%), Measurement Type, Pass/Fail 
st00325, 2017/09/20 15:33:46, wb-ckampa01, wsb-001, inf, 73.2, 48, outside-inside, pass
st00333, 2017/09/20 15:33:46, wb-ckampa01, wsb-001, inf, 73.2, 48, outside-inside, pass
st00335, 2017/09/20 15:33:49, wb-ckampa01, wsb-001, 197.36488811795022, 73.2, 48, outside-inside, fail
st00327, 2017/09/20 15:33:48, wb-ckampa01, wsb-001, 234.41553511304522, 73.2, 48, inside-outside, fail
st00314, 2017/09/20 15:33:47, wb-ckampa01, wsb-001, 276.5989485967293, 73.2, 48, inside-inside, fail
st00329, 2017/09/20 15:33:46, wb-ckampa01, wsb-001, 161.75278787091509, 73.2, 48, inside-inside, pass
st00336, 2017/09/20 15:33:49, wb-ckampa01, wsb-001, inf, 73.2, 48, inside-outside, pass
st00315, 2017/09/20 15:33:49, wb-ckampa01, wsb-001, 143.4768521076744, 73.2, 48, outside-outside, pass
st00328, 2017/09/20 15:33:50, wb-ckampa01, wsb-001, 99.64611367996298, 73.2, 48, outside-outside, pass
st00333, 2017/09/20 15:33:46, wb-ckampa01, wsb-001, inf, 73.2, 48, inside-outside, pass
st00333, 2017/09/20 15:33:47, wb-ckampa01, wsb-001, 68.76693313432582, 73.2, 48, outside-outside, pass
st00330, 2017/09/20 15:33:47, wb-ckampa01, wsb-001, 217.8211612299985, 73.2, 48, inside-inside, pass
st00332, 2017/09/20 15:33:50, wb-ckampa01, wsb-001, 153.13913824057454, 73.2, 48, outside-outside, fail
st00314, 2017/09/20 15:33:48, wb-ckampa01, wsb-001, 183.05022270091257, 73.2, 48, outside-outside, fail
st00322, 2017/09/20 15:33:47, wb-ckampa01, wsb-001, 233.31389503287159, 73.2, 48, inside-inside, pass
st00319, 2017/09/20 15:33:48, wb-ckampa01, wsb-001, 123.19313995408368, 73.2, 48, inside-inside, fail
st00319, 2017/09/20 15:33:49, wb-ckampa01, wsb-001, inf, 73.2, 48, outside-inside, pass
st00325, 2017/09/20 15:33:46, wb-ckampa01, wsb-001, inf, 73.2, 48, inside-outside, pass
st00324, 2017/09/20 15:33:50, wb-ckampa01, wsb-001, inf, 73.2, 48, outside-inside, pass
st00327, 2017/09/20 15:33:49, wb-ckampa01, wsb-001, 212.67123137927177, 73.2, 48, outside-outside, fail
st00323, 2017/09/20 15:33:49, wb-ckampa01, wsb-001, 72.36611661309695, 73.2, 48, outside-outside, pass
st00313, 2017/09/20 15:33:46, wb-ckampa01, wsb-001, 256.0907338946516, 73.2, 48, inside-inside, fail
st00320, 2017/09/20 15:33:49, wb-ckampa01, wsb-001, inf, 73.2, 48, inside-outside, pass
st00320, 2017/09/20 15:33:50, wb-ckampa01, wsb-001, 106.72715517241369, 73.2, 48, outside-outside, pass
st00321, 2017/09/20 15:33:46, wb-ckampa01, wsb-001, inf, 73.2, 48, inside-outside, pass
st00335, 2017/09/20 15:33:49, wb-ckampa01, wsb-001, 79.94828519646404, 73.2, 48, outside-outside, pass
st00324, 2017/09/20 15:33:50, wb-ckampa01, wsb-001, 81.60174937021293, 73.2, 48, outside-outside, pass
st00320, 2017/09/20 15:33:50, wb-ckampa01, wsb-001, inf, 73.2, 48, outside-inside, pass
st00314, 2017/09/20 15:33:47, wb-ckampa01, wsb-001, inf, 73.2, 48, outside-inside, pass
st00321, 2017/09/20 15:33:46, wb-ckampa01, wsb-001, inf, 73.2, 48, outside-inside, pass
st00331, 2017/09/20 15:33:48, wb-ckampa01, wsb-001, inf, 73.2, 48, inside-outside, pass
st00331, 2017/09/20 15:33:49, wb-ckampa01, wsb-001, inf, 73.2, 48, outside-inside, pass
st00315, 2017/09/20 15:33:49, wb-ckampa01, wsb-001, inf, 73.2, 48, outside-inside, pass
st00319, 2017/09/20 15:33:49, wb-ckampa01, wsb-001, 85.73814946222262, 73.2, 48, outside-outside, pass
st00319, 2017/09/20 15:33:48, wb-ckampa01, wsb-001, inf, 73.2, 48, inside-outside, pass
st00324, 2017/09/20 15:33:49, wb-ckampa01, wsb-001, 220.0282325510746, 73.2, 48, inside-inside, pass
st00323, 2017/09/20 15:33:49, wb-ckampa01, wsb-001, 124.78256576569709, 73.2, 48, outside-inside, fail
st00318, 2017/09/20 15:33:48, wb-ckampa01, wsb-001, 57.07595081537926, 73.2, 48, outside-outside, pass
st00323, 2017/09/20 15:33:48, wb-ckampa01, wsb-001, 189.28559352905904, 73.2, 48, inside-outside, fail
st00327, 2017/09/20 15:33:48, wb-ckampa01, wsb-001, 244.03787550082933, 73.2, 48, inside-inside, pass
st00336, 2017/09/20 15:33:50, wb-ckampa01, wsb-001, 69.94213806137441, 73.2, 48, outside-outside, pass
st00335, 2017/09/20 15:33:48, wb-ckampa01, wsb-001, 210.29480356650214, 73.2, 48, inside-inside, pass
st00334, 2017/09/20 15:33:47, wb-ckampa01, wsb-001, inf, 73.2, 48, outside-inside, pass
st00321, 2017/09/20 15:33:47, wb-ckampa01, wsb-001, 66.38233507327197, 73.2, 48, outside-outside, pass
st00318, 2017/09/20 15:33:47, wb-ckampa01, wsb-001, 53.55528477612006, 73.2, 48, outside-inside, fail
st00327, 2017/09/20 15:33:49, wb-ckampa01, wsb-001, inf, 73.2, 48, outside-inside, pass
st00336, 2017/09/20 15:33:49, wb-ckampa01, wsb-001, 254.79742218169196, 73.2, 48, inside-inside, fail
st00317, 2017/09/20 15:33:46, wb-ckampa01, wsb-001, 243.6914893617021, 73.2, 48, inside-inside, pass
