94.47,156.23,196.31,114.13,101.31,198.77,136.23,81.077,21.769,105.08
304.23,375.69,404.5,290.25,274.19,408.78,288,274.5,195.7,346.72
443.36,586.29,484.5,487.64,465.57,415.07,430.5,404.07,434.21,483.29
604.36,602.86,677.64,628.21,625.29,585.14,618.64,566.29,514.43,604.64
738,759.29,875.14,778.21,789.64,770.57,770.14,740.07,688.36,761.43
923.38,945.57,1030.7,968.62,978.81,939.1,952.59,899.74,852.69,940.61
1127.1,1096.5,1243.8,1123.5,1167,1099.2,1116.4,1050.8,987,1114.4
1244.9,1379.2,1375.9,1249.7,1319.2,1365.2,1273.8,1185.2,1219.8,1301.6
1480,1492.2,1515.6,1442.1,1343.9,1569,1456,1431.7,1329.4,1477
