<<<<<<< HEAD
chamber,volume (CC),uncert (CC)
0,594,9
1,607,20
2,595,10
3,605,6
4,595,14
5,606,25
6,609,5
7,612,8
8,606,11
9,595,10
=======
594,13
607,31
595,15
605,10
595,21
606,37
609,7
612,12
606,17
595,15
>>>>>>> 4200f5ff179bdd039f7f5afeab69bcc4ed327bfa
