epoch time (s), temp (F), RH (%)
1505422588, 22.03, 55.12,
1505422589, 22.08, 55.11,
1505422590, 22.09, 55.05,
1505422591, 22.12, 55.11,
1505422592, 22.02, 55.04,
1505422593, 22.03, 54.94,
1505422594, 22.04, 55.00,
1505422595, 22.06, 54.94,
