epoch time (s), temp (F), RH (%)
1515528510, 0.00,0.00

1515528511, 0.00,0.00

1515528512, 0.00,0.00

1515528513, 0.00,0.00

1515528514, 0.00,0.00

1515528515, 0.00,0.00

1515528516, 0.00,0.00

1515528517, 0.00,0.00

1515528518, 0.00,0.00

1515528519, 0.00,0.00

1515528520, 0.00,0.00

1515528521, 0.00,0.00

1515528522, 0.00,0.00

1515528523, 0.00,0.00

1515528524, 0.00,0.00

1515528525, 0.00,0.00

1515528526, 0.00,0.00

1515528527, 0.00,0.00

1515528528, 0.00,0.00

1515528529, 0.00,0.00

1515528530, 0.00,0.00

1515528531, 0.00,0.00

1515528532, 0.00,0.00

1515528533, 0.00,0.00

1515528534, 0.00,0.00

1515528535, 0.00,0.00

1515528536, 0.00,0.00

1515528537, 0.00,0.00

1515528538, 0.00,0.00

1515528539, 0.00,0.00

1515528540, 0.00,0.00

1515528541, 0.00,0.00

1515528542, 0.00,0.00

1515528543, 0.00,0.00

1515528544, 0.00,0.00

1515528545, 0.00,0.00

1515528546, 0.00,0.00

1515528547, 0.00,0.00

1515528548, 0.00,0.00

1515528549, 0.00,0.00

1515528550, 0.00,0.00

1515528551, 0.00,0.00

1515528552, 0.00,0.00

1515528553, 0.00,0.00

1515528554, 0.00,0.00

1515528555, 0.00,0.00

1515528556, 0.00,0.00

1515528557, 0.00,0.00

1515528558, 0.00,0.00

1515528559, 0.00,0.00

1515528560, 0.00,0.00

1515528561, 0.00,0.00

1515528562, 0.00,0.00

1515528563, 0.00,0.00

1515528564, 0.00,0.00

1515528565, 0.00,0.00

1515528566, 0.00,0.00

1515528567, 0.00,0.00

1515528568, 0.00,0.00

1515528569, 0.00,0.00

1515528570, 0.00,0.00

1515528571, 0.00,0.00

1515528572, 0.00,0.00

1515528573, 0.00,0.00

1515528574, 0.00,0.00

1515528575, 0.00,0.00

1515528576, 0.00,0.00

1515528577, 0.00,0.00

1515528578, 0.00,0.00

1515528579, 0.00,0.00

1515528580, 0.00,0.00

1515528581, 0.00,0.00

1515528582, 0.00,0.00

1515528583, 0.00,0.00

1515528584, 0.00,0.00

1515528585, 0.00,0.00

1515528586, 0.00,0.00

1515528587, 0.00,0.00

1515528588, 0.00,0.00

1515528589, 0.00,0.00

1515528590, 0.00,0.00

1515528591, 0.00,0.00

1515528592, 0.00,0.00

1515528593, 0.00,0.00

1515528594, 0.00,0.00

1515528595, 0.00,0.00

1515528596, 0.00,0.00

1515528597, 0.00,0.00

1515528598, 0.00,0.00

1515528599, 0.00,0.00

1515528600, 0.00,0.00

1515528601, 0.00,0.00

1515528602, 0.00,0.00

1515528603, 0.00,0.00

1515528604, 0.00,0.00

1515528605, 0.00,0.00

1515528606, 0.00,0.00

