st00627,       09/21/2017 09:46:31,   wb-ckampa01,         wsb-001,101.326171,72.9,43,   outside-outside
st00627,       09/21/2017 09:46:31,   wb-ckampa01,         wsb-001,   inf,72.9,43,   outside-inside
,,,,,,,
st00628,       09/21/2017 09:47:19,   wb-ckampa01,         wsb-001,205.014423,72.9,43,   inside-inside
st00628,       09/21/2017 09:47:19,   wb-ckampa01,         wsb-001,   inf,72.9,43,   inside-outside
st00628,       09/21/2017 09:47:19,   wb-ckampa01,         wsb-001,100.782011,72.9,43,   outside-outside
st00628,       09/21/2017 09:47:19,   wb-ckampa01,         wsb-001,   inf,72.9,43,   outside-inside
,,,,,,,
st00629,       09/21/2017 09:48:04,   wb-ckampa01,         wsb-001,213.438348,72.9,43,   inside-inside
st00629,       09/21/2017 09:48:04,   wb-ckampa01,         wsb-001,   inf,72.9,43,   inside-outside
st00629,       09/21/2017 09:48:04,   wb-ckampa01,         wsb-001,101.909146,72.9,43,   outside-outside
st00629,       09/21/2017 09:48:04,   wb-ckampa01,         wsb-001,   inf,72.9,43,   outside-inside
,,,,,,,
st00630,       09/21/2017 09:48:44,   wb-ckampa01,         wsb-001,205.636258,72.9,43,   inside-inside
st00630,       09/21/2017 09:48:44,   wb-ckampa01,         wsb-001,   inf,72.9,43,   inside-outside
st00630,       09/21/2017 09:48:44,   wb-ckampa01,         wsb-001,101.341478,72.9,43,   outside-outside
st00630,       09/21/2017 09:48:44,   wb-ckampa01,         wsb-001,   inf,72.9,43,   outside-inside
,,,,,,,
st00631,       09/21/2017 09:49:18,   wb-ckampa01,         wsb-001,200.66503,72.9,43,   inside-inside
st00631,       09/21/2017 09:49:18,   wb-ckampa01,         wsb-001,   inf,72.9,43,   inside-outside
st00631,       09/21/2017 09:49:18,   wb-ckampa01,         wsb-001,98.7852504,72.9,43,   outside-outside
st00631,       09/21/2017 09:49:18,   wb-ckampa01,         wsb-001,   inf,72.9,43,   outside-inside
,,,,,,,
st00632,       09/21/2017 09:49:54,   wb-ckampa01,         wsb-001,198.536143,72.9,43,   inside-inside
st00632,       09/21/2017 09:49:54,   wb-ckampa01,         wsb-001,   inf,72.9,43,   inside-outside
st00632,       09/21/2017 09:49:54,   wb-ckampa01,         wsb-001,100.067715,72.9,43,   outside-outside
st00632,       09/21/2017 09:49:54,   wb-ckampa01,         wsb-001,   inf,72.9,43,   outside-inside
,,,,,,,
st00633,       09/21/2017 09:50:56,   wb-ckampa01,         wsb-001,201.013688,72.9,43,   inside-inside
st00633,       09/21/2017 09:50:56,   wb-ckampa01,         wsb-001,   inf,72.9,43,   inside-outside
st00633,       09/21/2017 09:50:56,   wb-ckampa01,         wsb-001,101.207686,72.9,43,   outside-outside
st00633,       09/21/2017 09:50:56,   wb-ckampa01,         wsb-001,   inf,72.9,43,   outside-inside
,,,,,,,
st00634,       09/21/2017 09:52:14,   wb-ckampa01,         wsb-001,204.737561,72.9,43,   inside-inside
st00634,       09/21/2017 09:52:14,   wb-ckampa01,         wsb-001,   inf,72.9,43,   inside-outside
st00634,       09/21/2017 09:52:14,   wb-ckampa01,         wsb-001,100.520523,72.9,43,   outside-outside
st00634,       09/21/2017 09:52:14,   wb-ckampa01,         wsb-001,   inf,72.9,43,   outside-inside
,,,,,,,
st00635,       09/21/2017 09:52:57,   wb-ckampa01,         wsb-001,212.04584,72.9,43,   inside-inside
st00635,       09/21/2017 09:52:57,   wb-ckampa01,         wsb-001,   inf,72.9,43,   inside-outside
st00635,       09/21/2017 09:52:57,   wb-ckampa01,         wsb-001,100,72.9,43,   outside-outside
st00635,       09/21/2017 09:52:57,   wb-ckampa01,         wsb-001,   inf,72.9,43,   outside-inside
,,,,,,,
st00636,       09/21/2017 09:53:41,   wb-ckampa01,         wsb-001,200.807499,72.9,43,   inside-inside
st00636,       09/21/2017 09:53:41,   wb-ckampa01,         wsb-001,   inf,72.9,43,   inside-outside
st00636,       09/21/2017 09:53:41,   wb-ckampa01,         wsb-001,100.379422,72.9,43,   outside-outside
st00636,       09/21/2017 09:53:41,   wb-ckampa01,         wsb-001,   inf,72.9,43,   outside-inside
