st00651,       09/26/2017 09:26:52,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   inside-outside
st00651,       09/26/2017 09:26:52,   wb-ckampa01,         wsb-001,   101.145403,   71.9,   51,   outside-outside
st00651,       09/26/2017 09:26:52,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   outside-inside

st00652,       09/26/2017 09:27:45,   wb-ckampa01,         wsb-001,   197.335024,   71.9,   51,   inside-inside
st00652,       09/26/2017 09:27:45,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   inside-outside
st00652,       09/26/2017 09:27:45,   wb-ckampa01,         wsb-001,   96.9531825,   71.9,   51,   outside-outside
st00652,       09/26/2017 09:27:45,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   outside-inside

st00653,       09/26/2017 09:28:47,   wb-ckampa01,         wsb-001,   197.16523,   71.9,   51,   inside-inside
st00653,       09/26/2017 09:28:47,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   inside-outside
st00653,       09/26/2017 09:28:47,   wb-ckampa01,         wsb-001,   99.5545862,   71.9,   51,   outside-outside
st00653,       09/26/2017 09:28:47,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   outside-inside

st00654,       09/26/2017 09:29:28,   wb-ckampa01,         wsb-001,   200.730721,   71.9,   51,   inside-inside
st00654,       09/26/2017 09:29:28,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   inside-outside
st00654,       09/26/2017 09:29:28,   wb-ckampa01,         wsb-001,   101.374596,   71.9,   51,   outside-outside
st00654,       09/26/2017 09:29:28,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   outside-inside

st00655,       09/26/2017 09:30:10,   wb-ckampa01,         wsb-001,   197.958421,   71.9,   51,   inside-inside
st00655,       09/26/2017 09:30:10,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   inside-outside
st00655,       09/26/2017 09:30:10,   wb-ckampa01,         wsb-001,   97.7309122,   71.9,   51,   outside-outside
st00655,       09/26/2017 09:30:10,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   outside-inside

st00656,       09/26/2017 09:30:50,   wb-ckampa01,         wsb-001,   198.058676,   71.9,   51,   inside-inside
st00656,       09/26/2017 09:30:50,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   inside-outside
st00656,       09/26/2017 09:30:50,   wb-ckampa01,         wsb-001,   99.1966848,   71.9,   51,   outside-outside
st00656,       09/26/2017 09:30:50,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   outside-inside

st00657,       09/26/2017 09:31:41,   wb-ckampa01,         wsb-001,   198.081402,   71.9,   51,   inside-inside
st00657,       09/26/2017 09:31:41,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   inside-outside
st00657,       09/26/2017 09:31:41,   wb-ckampa01,         wsb-001,   102.272728,   71.9,   51,   outside-outside
st00657,       09/26/2017 09:31:41,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   outside-inside

st00658,       09/26/2017 09:32:22,   wb-ckampa01,         wsb-001,   196.172957,   71.9,   51,   inside-inside
st00658,       09/26/2017 09:32:22,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   inside-outside
st00658,       09/26/2017 09:32:22,   wb-ckampa01,         wsb-001,   99.7499451,   71.9,   51,   outside-outside
st00658,       09/26/2017 09:32:22,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   outside-inside

st00659,       09/26/2017 09:33:01,   wb-ckampa01,         wsb-001,   194.363797,   71.9,   51,   inside-inside
st00659,       09/26/2017 09:33:01,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   inside-outside
st00659,       09/26/2017 09:33:01,   wb-ckampa01,         wsb-001,   100.446945,   71.9,   51,   outside-outside
st00659,       09/26/2017 09:33:01,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   outside-inside

st00660,       09/26/2017 09:33:47,   wb-ckampa01,         wsb-001,   196.755638,   71.9,   51,   inside-inside
st00660,       09/26/2017 09:33:47,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   inside-outside
st00660,       09/26/2017 09:33:47,   wb-ckampa01,         wsb-001,   99.4935595,   71.9,   51,   outside-outside
st00660,       09/26/2017 09:33:47,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   outside-inside

st00637,       09/26/2017 09:36:14,   wb-ckampa01,         wsb-001,   200.047684,   71.9,   51,   inside-inside
st00637,       09/26/2017 09:36:14,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   inside-outside
st00637,       09/26/2017 09:36:14,   wb-ckampa01,         wsb-001,   97.7014613,   71.9,   51,   outside-outside
st00637,       09/26/2017 09:36:14,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   outside-inside

st00640,       09/26/2017 09:37:43,   wb-ckampa01,         wsb-001,   198.682782,   71.9,   51,   inside-inside
st00640,       09/26/2017 09:37:43,   wb-ckampa01,         wsb-001,   101.069278,   71.9,   51,   inside-outside
st00640,       09/26/2017 09:37:43,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   outside-outside
st00640,       09/26/2017 09:37:43,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   outside-inside

st00640,       09/26/2017 09:38:17,   wb-ckampa01,         wsb-001,   198.712365,   71.9,   51,   inside-inside
st00640,       09/26/2017 09:38:17,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   inside-outside
st00640,       09/26/2017 09:38:17,   wb-ckampa01,         wsb-001,   100.97989,   71.9,   51,   outside-outside
st00640,       09/26/2017 09:38:17,   wb-ckampa01,         wsb-001,   inf,   71.9,   51,   outside-inside

