date, temp (C), RH (%), epoch time (s)
2018-04-10_110338,24.10,24.21,1523376218.8383443
2018-04-10_110348,24.10,24.19,1523376228.8383586
2018-04-10_110358,24.05,24.22,1523376238.8383727
2018-04-10_110408,24.08,24.19,1523376248.8383865
2018-04-10_110418,24.07,24.22,1523376258.8384006
2018-04-10_110428,24.07,24.19,1523376268.8384147
2018-04-10_110438,24.07,24.24,1523376278.8384285
2018-04-10_110448,24.10,24.21,1523376288.8384426
2018-04-10_110458,24.08,24.21,1523376298.8384566
2018-04-10_110508,24.08,24.22,1523376308.8384705
2018-04-10_110518,24.08,24.24,1523376318.8384845
2018-04-10_110528,24.08,24.21,1523376328.8384986
2018-04-10_110538,24.07,24.18,1523376338.8385124
2018-04-10_110548,24.07,24.21,1523376348.8385265
2018-04-10_110558,24.07,24.17,1523376358.8385406
2018-04-10_110608,24.05,24.19,1523376368.8385546
2018-04-10_110618,24.08,24.21,1523376378.8385684
2018-04-10_110628,24.07,24.22,1523376388.8385825
2018-04-10_110638,24.04,24.25,1523376398.8385966
2018-04-10_110648,24.08,24.23,1523376408.8386104
2018-04-10_110658,24.07,24.21,1523376418.8386245
2018-04-10_110708,24.10,24.24,1523376428.8386385
2018-04-10_110718,24.07,24.19,1523376438.8386524
2018-04-10_110728,24.08,24.25,1523376448.8386664
2018-04-10_110738,24.05,24.22,1523376458.8386805
2018-04-10_110748,24.05,24.20,1523376468.8386943
2018-04-10_110758,24.07,24.22,1523376478.8387084
2018-04-10_110808,24.07,24.24,1523376488.8387225
2018-04-10_110818,24.05,24.24,1523376498.8387363
2018-04-10_110828,24.07,24.24,1523376508.8387504
2018-04-10_110838,24.07,24.28,1523376518.8387644
2018-04-10_110848,24.07,24.26,1523376528.8387787
2018-04-10_110858,24.05,24.25,1523376538.8387926
2018-04-10_110908,24.07,24.29,1523376548.8388066
2018-04-10_110918,24.07,24.28,1523376558.8388207
2018-04-10_110928,24.05,24.28,1523376568.8388345
2018-04-10_110938,24.05,24.26,1523376578.8388486
2018-04-10_110948,24.04,24.33,1523376588.8388627
2018-04-10_110958,24.05,24.29,1523376598.8388765
2018-04-10_111008,24.07,24.35,1523376608.8388906
2018-04-10_111018,24.07,24.29,1523376618.8389046
2018-04-10_111028,24.04,24.29,1523376628.8389184
2018-04-10_111038,24.05,24.32,1523376638.8389325
2018-04-10_111048,24.05,24.33,1523376648.8389466
2018-04-10_111058,24.04,24.29,1523376658.8389604
2018-04-10_111108,24.04,24.37,1523376668.8389745
2018-04-10_111118,24.04,24.34,1523376678.8389885
2018-04-10_111128,24.07,24.33,1523376688.8390026
2018-04-10_111138,24.04,24.37,1523376698.8390164
2018-04-10_111148,24.05,24.33,1523376708.8390305
2018-04-10_111158,24.05,24.39,1523376718.8390446
2018-04-10_111208,24.05,24.40,1523376728.8390584
2018-04-10_111218,24.04,24.41,1523376738.8390725
2018-04-10_111228,24.05,24.39,1523376748.8390865
2018-04-10_111238,24.07,24.36,1523376758.8391004
2018-04-10_111248,24.05,24.41,1523376768.8391144
2018-04-10_111258,24.05,24.40,1523376778.8391285
2018-04-10_111308,24.04,24.40,1523376788.8391423
2018-04-10_111318,24.05,24.41,1523376798.8391564
2018-04-10_111328,24.03,24.40,1523376808.8391705
2018-04-10_111338,24.03,24.41,1523376818.8391843
2018-04-10_111348,24.03,24.41,1523376828.8391984
2018-04-10_111358,24.03,24.47,1523376838.8392127
2018-04-10_111408,24.05,24.50,1523376848.8392267
2018-04-10_111418,24.01,24.45,1523376858.8392406
2018-04-10_111428,24.04,24.44,1523376868.8392546
2018-04-10_111438,24.03,24.46,1523376878.8392687
2018-04-10_111448,24.03,24.42,1523376888.8392825
2018-04-10_111458,24.04,24.51,1523376898.8392966
2018-04-10_111508,24.04,24.48,1523376908.8393106
2018-04-10_111518,24.03,24.48,1523376918.8393245
2018-04-10_111528,24.03,24.50,1523376928.8393385
2018-04-10_111538,24.04,24.51,1523376938.8393526
2018-04-10_111548,24.03,24.52,1523376948.8393664
