date, temp (C), RH (%), epoch time (s)
2018-04-10_102441,24.17,24.72,1523373881.2668965
2018-04-10_102451,24.17,24.72,1523373891.2669106
2018-04-10_102501,24.17,24.77,1523373901.2669246
2018-04-10_102511,24.15,24.75,1523373911.2669387
2018-04-10_102521,24.15,24.78,1523373921.2669525
2018-04-10_102531,24.15,24.85,1523373931.2700856
2018-04-10_102541,24.14,24.79,1523373941.2700996
2018-04-10_102551,24.14,24.83,1523373951.2733543
2018-04-10_102601,24.12,24.81,1523373961.2733684
2018-04-10_102611,24.12,24.87,1523373971.2734346
2018-04-10_102621,24.14,24.83,1523373981.2759376
2018-04-10_102631,24.15,24.83,1523373991.2779975
2018-04-10_102641,24.12,24.86,1523374001.2780113
2018-04-10_102651,24.11,24.89,1523374011.2780254
2018-04-10_102701,24.11,24.91,1523374021.279093
2018-04-10_102711,24.10,24.87,1523374031.279107
2018-04-10_102721,24.14,24.87,1523374041.2794888
2018-04-10_102731,24.14,24.95,1523374051.2798655
2018-04-10_102741,24.12,24.93,1523374061.2804375
2018-04-10_102751,24.10,25.01,1523374071.2810094
2018-04-10_102801,24.12,25.02,1523374081.2815816
2018-04-10_102811,24.08,25.01,1523374091.2821534
2018-04-10_102821,24.11,24.98,1523374101.2852678
2018-04-10_102831,24.11,25.01,1523374111.285402
2018-04-10_102841,24.14,25.01,1523374121.2916224
2018-04-10_102851,24.12,25.03,1523374131.297017
2018-04-10_102901,24.11,25.02,1523374141.2974076
2018-04-10_102911,24.10,25.04,1523374151.2979798
2018-04-10_102921,24.11,25.08,1523374161.2985518
2018-04-10_102931,24.11,25.11,1523374171.300124
2018-04-10_102941,24.11,25.05,1523374181.300696
2018-04-10_102951,24.12,25.06,1523374191.3027682
2018-04-10_103001,24.11,25.08,1523374201.307909
2018-04-10_103011,24.10,25.08,1523374211.3110368
2018-04-10_103021,24.11,25.05,1523374221.3180537
2018-04-10_103031,24.11,25.11,1523374231.326182
2018-04-10_103041,24.10,25.11,1523374241.3261964
2018-04-10_103051,24.08,25.12,1523374251.3352127
2018-04-10_103101,24.10,25.09,1523374261.3352284
2018-04-10_103111,24.10,25.11,1523374271.3352554
2018-04-10_103121,24.12,25.06,1523374281.335752
2018-04-10_103131,24.11,25.12,1523374291.3363237
2018-04-10_103141,24.12,25.11,1523374301.3378959
2018-04-10_103151,24.11,25.12,1523374311.3384678
2018-04-10_103201,24.11,25.17,1523374321.33904
2018-04-10_103211,24.10,25.17,1523374331.339612
2018-04-10_103221,24.11,25.20,1523374341.3401837
2018-04-10_103231,24.12,25.16,1523374351.340756
2018-04-10_103241,24.10,25.16,1523374361.341328
2018-04-10_103251,24.12,25.17,1523374371.3418999
2018-04-10_103301,24.11,25.19,1523374381.3424718
2018-04-10_103311,24.14,25.16,1523374391.3430438
2018-04-10_103321,24.10,25.08,1523374401.343616
2018-04-10_103331,24.11,25.07,1523374411.344188
2018-04-10_103341,24.11,25.09,1523374421.3447597
2018-04-10_103351,24.11,25.12,1523374431.345332
2018-04-10_103401,24.12,25.09,1523374441.346904
2018-04-10_103411,24.12,25.05,1523374451.347476
2018-04-10_103421,24.14,25.07,1523374461.348048
2018-04-10_103431,24.12,25.11,1523374471.34862
2018-04-10_103441,24.12,25.06,1523374481.349192
2018-04-10_103451,24.11,25.08,1523374491.349764
2018-04-10_103501,24.12,25.12,1523374501.350336
2018-04-10_103511,24.12,25.11,1523374511.3509078
2018-04-10_103521,24.14,25.12,1523374521.35148
2018-04-10_103531,24.12,25.13,1523374531.353052
2018-04-10_103541,24.14,25.13,1523374541.353624
2018-04-10_103551,24.12,25.16,1523374551.354196
2018-04-10_103601,24.11,25.12,1523374561.3547678
2018-04-10_103611,24.12,25.04,1523374571.35534
2018-04-10_103621,24.14,25.09,1523374581.355912
2018-04-10_103631,24.15,25.08,1523374591.3564842
2018-04-10_103641,24.12,25.07,1523374601.357056
2018-04-10_103651,24.14,25.05,1523374611.3576279
2018-04-10_103701,24.12,25.07,1523374621.3582
2018-04-10_103711,24.12,25.08,1523374631.358772
2018-04-10_103721,24.14,25.04,1523374641.3593442
2018-04-10_103731,24.14,25.00,1523374651.359916
2018-04-10_103741,24.14,25.01,1523374661.360488
2018-04-10_103751,24.12,25.08,1523374671.3610601
2018-04-10_103801,24.17,25.05,1523374681.3641887
2018-04-10_103811,24.14,25.01,1523374691.3642025
2018-04-10_103821,24.12,25.04,1523374701.3642166
2018-04-10_103831,24.14,24.96,1523374711.3642306
2018-04-10_103841,24.17,24.90,1523374721.3642445
2018-04-10_103851,24.15,24.89,1523374731.3642585
2018-04-10_103901,24.17,24.81,1523374741.3642726
2018-04-10_103911,24.12,24.78,1523374751.3642867
2018-04-10_103921,24.17,24.78,1523374761.3643005
2018-04-10_103931,24.14,24.77,1523374771.3643146
2018-04-10_103941,24.15,24.75,1523374781.3643286
2018-04-10_103951,24.15,24.75,1523374791.3643425
2018-04-10_104001,24.15,24.71,1523374801.3643565
2018-04-10_104011,24.17,24.74,1523374811.3643706
2018-04-10_104021,24.15,24.70,1523374821.3643844
2018-04-10_104031,24.11,24.68,1523374831.3643985
2018-04-10_104041,24.14,24.68,1523374841.3644128
2018-04-10_104051,24.15,24.67,1523374851.3644266
2018-04-10_104101,24.15,24.63,1523374861.3644407
2018-04-10_104111,24.14,24.63,1523374871.3644547
2018-04-10_104121,24.17,24.58,1523374881.3644686
2018-04-10_104131,24.17,24.59,1523374891.3644826
2018-04-10_104141,24.15,24.58,1523374901.3644967
2018-04-10_104151,24.15,24.55,1523374911.3645108
2018-04-10_104201,24.17,24.50,1523374921.3645246
2018-04-10_104211,24.14,24.52,1523374931.3645387
2018-04-10_104221,24.15,24.52,1523374941.3645527
2018-04-10_104231,24.14,24.48,1523374951.3645666
2018-04-10_104241,24.14,24.45,1523374961.3645806
2018-04-10_104251,24.15,24.42,1523374971.3645947
2018-04-10_104301,24.17,24.44,1523374981.3646085
2018-04-10_104311,24.15,24.44,1523374991.3646226
2018-04-10_104321,24.14,24.38,1523375001.3646367
2018-04-10_104331,24.17,24.41,1523375011.3646505
2018-04-10_104341,24.14,24.37,1523375021.3646646
2018-04-10_104351,24.15,24.38,1523375031.3646786
2018-04-10_104401,24.15,24.37,1523375041.3646924
2018-04-10_104411,24.17,24.31,1523375051.3647065
2018-04-10_104421,24.17,24.33,1523375061.3647206
2018-04-10_104431,24.15,24.28,1523375071.3647346
2018-04-10_104441,24.18,24.27,1523375081.3647485
2018-04-10_104451,24.15,24.23,1523375091.3647625
2018-04-10_104501,24.14,24.28,1523375101.3647766
2018-04-10_104511,24.14,24.28,1523375111.3647904
2018-04-10_104521,24.15,24.30,1523375121.3648045
2018-04-10_104531,24.18,24.27,1523375131.3648186
2018-04-10_104541,24.17,24.25,1523375141.3648324
2018-04-10_104551,24.14,24.23,1523375151.3648467
2018-04-10_104601,24.15,24.23,1523375161.3648608
2018-04-10_104611,24.15,24.19,1523375171.3648746
2018-04-10_104621,24.15,24.16,1523375181.3648887
2018-04-10_104631,24.15,24.16,1523375191.3649027
2018-04-10_104641,24.17,24.13,1523375201.3649166
2018-04-10_104651,24.14,24.12,1523375211.3649306
2018-04-10_104701,24.18,24.15,1523375221.3649447
2018-04-10_104711,24.15,24.09,1523375231.3649588
2018-04-10_104721,24.15,24.10,1523375241.3649726
2018-04-10_104731,24.15,24.09,1523375251.3649867
2018-04-10_104741,24.15,24.06,1523375261.3650007
2018-04-10_104751,24.15,24.06,1523375271.3650146
2018-04-10_104801,24.17,24.09,1523375281.3650286
2018-04-10_104811,24.14,24.06,1523375291.3650427
2018-04-10_104821,24.14,24.06,1523375301.3650565
2018-04-10_104831,24.15,24.05,1523375311.3650706
2018-04-10_104841,24.17,23.99,1523375321.3650846
2018-04-10_104851,24.15,23.98,1523375331.3650985
2018-04-10_104901,24.14,24.01,1523375341.3651125
2018-04-10_104911,24.15,24.01,1523375351.3651266
2018-04-10_104921,24.15,23.99,1523375361.3651404
2018-04-10_104931,24.14,23.99,1523375371.3651545
2018-04-10_104941,24.15,23.95,1523375381.3651686
2018-04-10_104951,24.14,23.99,1523375391.3651826
2018-04-10_105001,24.15,23.94,1523375401.3651965
2018-04-10_105011,24.14,23.94,1523375411.3652105
2018-04-10_105021,24.17,23.88,1523375421.3652246
2018-04-10_105031,24.14,23.92,1523375431.3652384
2018-04-10_105041,24.15,23.90,1523375441.3652525
2018-04-10_105051,24.14,23.91,1523375451.3652668
2018-04-10_105101,24.11,23.88,1523375461.3652806
2018-04-10_105111,24.14,23.87,1523375471.3652947
2018-04-10_105121,24.17,23.86,1523375481.3653088
2018-04-10_105131,24.12,23.90,1523375491.3653226
2018-04-10_105141,24.14,23.87,1523375501.3653367
2018-04-10_105151,24.12,23.87,1523375511.3653507
2018-04-10_105201,24.12,23.88,1523375521.3653646
2018-04-10_105211,24.17,23.83,1523375531.3653786
2018-04-10_105221,24.14,23.85,1523375541.3653927
2018-04-10_105231,24.12,23.84,1523375551.3654068
2018-04-10_105241,24.14,23.84,1523375561.3654206
2018-04-10_105251,24.12,23.80,1523375571.3654346
2018-04-10_105301,24.14,23.80,1523375581.3654487
2018-04-10_105311,24.15,23.79,1523375591.3654625
2018-04-10_105321,24.15,23.81,1523375601.3654766
2018-04-10_105331,24.12,23.83,1523375611.3654907
2018-04-10_105341,24.12,23.81,1523375621.3655045
2018-04-10_105351,24.12,23.80,1523375631.3655186
2018-04-10_105401,24.12,23.80,1523375641.3655326
2018-04-10_105411,24.14,23.79,1523375651.3655465
2018-04-10_105421,24.10,23.79,1523375661.3655605
2018-04-10_105431,24.15,23.77,1523375671.3655746
2018-04-10_105441,24.15,23.79,1523375681.3655884
2018-04-10_105451,24.11,23.79,1523375691.3656025
2018-04-10_105501,24.12,23.79,1523375701.3656166
2018-04-10_105511,24.11,23.77,1523375711.3656306
2018-04-10_105521,24.12,23.73,1523375721.3656445
2018-04-10_105531,24.12,23.74,1523375731.3656585
2018-04-10_105541,24.14,23.77,1523375741.3656726
2018-04-10_105551,24.11,23.79,1523375751.3656864
2018-04-10_105601,24.14,23.80,1523375761.3657007
2018-04-10_105611,24.14,23.77,1523375771.3657148
2018-04-10_105621,24.14,23.74,1523375781.3657286
2018-04-10_105631,24.14,23.79,1523375791.3657427
2018-04-10_105641,24.12,23.73,1523375801.3657568
2018-04-10_105651,24.11,23.76,1523375811.3657706
2018-04-10_105701,24.10,23.74,1523375821.3657846
2018-04-10_105711,24.12,23.77,1523375831.3657987
2018-04-10_105721,24.10,23.76,1523375841.3658125
2018-04-10_105731,24.11,23.77,1523375851.3658266
2018-04-10_105741,24.07,23.79,1523375861.3658407
2018-04-10_105751,24.12,23.76,1523375871.3658547
2018-04-10_105801,24.12,23.77,1523375881.3658686
2018-04-10_105811,24.10,23.81,1523375891.3658826
2018-04-10_105821,24.11,23.76,1523375901.3658967
2018-04-10_105831,24.10,23.81,1523375911.3659105
2018-04-10_105841,24.11,23.80,1523375921.3659246
2018-04-10_105851,24.11,23.76,1523375931.3659387
2018-04-10_105901,24.10,23.84,1523375941.3659525
2018-04-10_105911,24.08,23.80,1523375951.3659666
2018-04-10_105921,24.10,23.80,1523375961.3659806
2018-04-10_105931,24.12,23.81,1523375971.3659945
2018-04-10_105941,24.11,23.87,1523375981.3660085
2018-04-10_105951,24.10,23.84,1523375991.3660226
2018-04-10_110001,24.11,23.80,1523376001.3660364
2018-04-10_110011,24.11,23.78,1523376011.3660505
2018-04-10_110021,24.10,23.87,1523376021.3660645
2018-04-10_110031,24.10,23.87,1523376031.3660786
2018-04-10_110041,24.11,23.81,1523376041.3660924
2018-04-10_110051,24.11,23.84,1523376051.3661065
2018-04-10_110101,24.08,23.89,1523376061.3661208
2018-04-10_110111,24.08,23.87,1523376071.3721354
