date, temp (C), RH (%), epoch time (s)
2018-03-06_104211,24.44,26.11,1520354531.969827
2018-03-06_104221,24.45,26.12,1520354541.969841
2018-03-06_104231,24.45,26.09,1520354551.969855
2018-03-06_104241,24.45,26.09,1520354561.969869
2018-03-06_104251,24.44,26.11,1520354571.969883
2018-03-06_104301,24.44,26.14,1520354581.969897
2018-03-06_104311,24.45,26.11,1520354591.969911
2018-03-06_104321,24.46,26.08,1520354601.969925
2018-03-06_104331,24.46,26.08,1520354611.969939
2018-03-06_104341,24.45,26.09,1520354621.969953
2018-03-06_104351,24.45,26.12,1520354631.969967
2018-03-06_104401,24.45,26.12,1520354641.969981
2018-03-06_104411,24.46,26.08,1520354651.969995
2018-03-06_104421,24.45,26.09,1520354661.970009
2018-03-06_104431,24.46,26.14,1520354671.970023
2018-03-06_104441,24.46,26.09,1520354681.970037
2018-03-06_104451,24.45,26.09,1520354691.970051
2018-03-06_104501,24.45,26.08,1520354701.970065
2018-03-06_104511,24.48,26.11,1520354711.970079
2018-03-06_104521,24.44,26.07,1520354721.970093
2018-03-06_104531,24.45,26.05,1520354731.970107
2018-03-06_104541,24.46,26.11,1520354741.970121
2018-03-06_104551,24.46,26.08,1520354751.970135
2018-03-06_104601,24.46,26.04,1520354761.970149
2018-03-06_104611,24.45,26.07,1520354771.970163
2018-03-06_104621,24.45,26.03,1520354781.970177
2018-03-06_104631,24.45,26.04,1520354791.970191
2018-03-06_104641,24.46,26.04,1520354801.970205
2018-03-06_104651,24.45,26.03,1520354811.970219
2018-03-06_104701,24.45,25.96,1520354821.970233
2018-03-06_104711,24.44,26.01,1520354831.970247
2018-03-06_104721,24.44,25.93,1520354841.970261
2018-03-06_104731,24.46,25.96,1520354851.970275
2018-03-06_104741,24.45,26.00,1520354861.970289
2018-03-06_104751,24.45,25.96,1520354871.970303
2018-03-06_104801,24.46,25.93,1520354881.970317
2018-03-06_104811,24.46,25.92,1520354891.970331
2018-03-06_104821,24.46,25.92,1520354901.970345
2018-03-06_104831,24.46,25.90,1520354911.970359
2018-03-06_104841,24.45,25.88,1520354921.970373
2018-03-06_104851,24.46,25.89,1520354931.970387
2018-03-06_104901,24.46,25.85,1520354941.970401
2018-03-06_104911,24.45,25.82,1520354951.970415
2018-03-06_104921,24.46,25.83,1520354961.970429
2018-03-06_104931,24.45,25.79,1520354971.970443
2018-03-06_104941,24.46,25.83,1520354981.970457
2018-03-06_104951,24.45,25.78,1520354991.970471
2018-03-06_105001,24.45,25.76,1520355001.970485
2018-03-06_105011,24.44,25.74,1520355011.970499
2018-03-06_105021,24.48,25.71,1520355021.970513
2018-03-06_105031,24.46,25.68,1520355031.970527
2018-03-06_105041,24.46,25.71,1520355041.970541
2018-03-06_105051,24.44,25.66,1520355051.970555
2018-03-06_105101,24.46,25.61,1520355061.970569
2018-03-06_105111,24.46,25.64,1520355071.970583
2018-03-06_105121,24.45,25.57,1520355081.970597
2018-03-06_105131,24.46,25.57,1520355091.970611
2018-03-06_105141,24.46,25.57,1520355101.970625
2018-03-06_105151,24.44,25.54,1520355111.970639
2018-03-06_105201,24.46,25.53,1520355121.970653
2018-03-06_105211,24.45,25.52,1520355131.970667
2018-03-06_105221,24.46,25.46,1520355141.970681
2018-03-06_105231,24.46,25.49,1520355151.970695
2018-03-06_105241,24.45,25.46,1520355161.970709
2018-03-06_105251,24.45,25.43,1520355171.970723
2018-03-06_105301,24.46,25.38,1520355181.970737
2018-03-06_105311,24.44,25.35,1520355191.970751
2018-03-06_105321,24.45,25.38,1520355201.970765
2018-03-06_105331,24.46,25.37,1520355211.970779
2018-03-06_105341,24.45,25.34,1520355221.970793
2018-03-06_105351,24.48,25.34,1520355231.970807
2018-03-06_105401,24.48,25.29,1520355241.970821
2018-03-06_105411,24.45,25.29,1520355251.970835
2018-03-06_105421,24.44,25.28,1520355261.970849
2018-03-06_105431,24.45,25.27,1520355271.970863
2018-03-06_105441,24.46,25.24,1520355281.970877
2018-03-06_105451,24.46,25.24,1520355291.970891
2018-03-06_105501,24.46,25.19,1520355301.970905
2018-03-06_105511,24.46,25.20,1520355311.970919
2018-03-06_105521,24.44,25.14,1520355321.970933
2018-03-06_105531,24.45,25.16,1520355331.970947
2018-03-06_105541,24.46,25.06,1520355341.970961
2018-03-06_105551,24.45,25.09,1520355351.970975
2018-03-06_105601,24.45,25.05,1520355361.970989
2018-03-06_105611,24.46,25.05,1520355371.971003
2018-03-06_105621,24.45,25.04,1520355381.971017
2018-03-06_105631,24.45,24.99,1520355391.971031
2018-03-06_105641,24.46,25.03,1520355401.971045
2018-03-06_105651,24.45,24.96,1520355411.971059
2018-03-06_105701,24.46,24.96,1520355421.971073
2018-03-06_105711,24.44,24.94,1520355431.971087
2018-03-06_105721,24.45,24.96,1520355441.971101
2018-03-06_105731,24.45,24.96,1520355451.971115
2018-03-06_105741,24.44,24.94,1520355461.971129
2018-03-06_105751,24.45,24.87,1520355471.971143
2018-03-06_105801,24.45,24.88,1520355481.971157
2018-03-06_105811,24.44,24.93,1520355491.971171
2018-03-06_105821,24.45,24.87,1520355501.971185
2018-03-06_105831,24.45,24.87,1520355511.971199
2018-03-06_105841,24.45,24.83,1520355521.971213
2018-03-06_105851,24.45,24.81,1520355531.971227
2018-03-06_105901,24.44,24.81,1520355541.971241
2018-03-06_105911,24.44,24.79,1520355551.971255
2018-03-06_105921,24.45,24.79,1520355561.971269
2018-03-06_105931,24.45,24.77,1520355571.971283
2018-03-06_105941,24.45,24.79,1520355581.971297
2018-03-06_105951,24.45,24.77,1520355591.971311
2018-03-06_110001,24.44,24.73,1520355601.971325
2018-03-06_110011,24.44,24.73,1520355611.971339
2018-03-06_110021,24.45,24.72,1520355621.971353
2018-03-06_110031,24.44,24.72,1520355631.971367
2018-03-06_110041,24.45,24.70,1520355641.971381
2018-03-06_110051,24.42,24.77,1520355651.971395
2018-03-06_110101,24.45,24.68,1520355661.971409
2018-03-06_110111,24.44,24.70,1520355671.971423
2018-03-06_110121,24.45,24.68,1520355681.971437
2018-03-06_110131,24.44,24.69,1520355691.971451
2018-03-06_110141,24.44,24.68,1520355701.971465
2018-03-06_110151,24.42,24.66,1520355711.971479
2018-03-06_110201,24.45,24.65,1520355721.971493
2018-03-06_110211,24.44,24.65,1520355731.971507
2018-03-06_110221,24.42,24.65,1520355741.971521
2018-03-06_110231,24.46,24.62,1520355751.971535
2018-03-06_110241,24.42,24.62,1520355761.971549
2018-03-06_110251,24.45,24.65,1520355771.971563
2018-03-06_110301,24.44,24.68,1520355781.971577
2018-03-06_110311,24.44,24.62,1520355791.971591
2018-03-06_110321,24.45,24.59,1520355801.971605
2018-03-06_110331,24.45,24.63,1520355811.971619
2018-03-06_110341,24.45,24.62,1520355821.971633
2018-03-06_110351,24.42,24.63,1520355831.971647
2018-03-06_110401,24.45,24.64,1520355841.971661
