date, temp (C), RH (%), epoch time (s)
2018-03-27_121933,b'24.42,25.62,1522171173.2343836
2018-03-27_121935,b'24.41,25.66,1522171175.234498
2018-03-27_121937,b'24.39,25.61,1522171177.2346125
2018-03-27_121939,b'24.39,25.65,1522171179.234727
2018-03-27_121941,b'24.41,25.55,1522171181.234841
