date, temp (C), RH (%), epoch time (s)
2018-02-06_082828,21.91,34.16,1517927308.846005
2018-02-06_082839,21.91,34.06,1517927319.866021
2018-02-06_082850,21.91,33.88,1517927330.896036
2018-02-06_082901,21.91,33.66,1517927341.916052
2018-02-06_082912,21.93,33.62,1517927352.926067
